SUBJECT;LABEL;HDRFDST
117122;Amygdala;inf
117122;GreyMatter;7.874007874011811
117122;Hippocampus;39.42080668885405
117122;Thalamus;41.83300132670378
117122;WhiteMatter;4.0
117122-PP;Amygdala;inf
117122-PP;GreyMatter;7.874007874011811
117122-PP;Hippocampus;39.42080668885405
117122-PP;Thalamus;41.83300132670378
117122-PP;WhiteMatter;4.0
118528;Amygdala;inf
118528;GreyMatter;4.242640687119285
118528;Hippocampus;65.0
118528;Thalamus;44.04543109109048
118528;WhiteMatter;5.477225575051661
118528-PP;Amygdala;inf
118528-PP;GreyMatter;4.242640687119285
118528-PP;Hippocampus;65.0
118528-PP;Thalamus;44.04543109109048
118528-PP;WhiteMatter;5.477225575051661
118730;Amygdala;inf
118730;GreyMatter;6.0
118730;Hippocampus;35.749125863438955
118730;Thalamus;43.243496620879306
118730;WhiteMatter;6.782329983125268
118730-PP;Amygdala;inf
118730-PP;GreyMatter;6.0
118730-PP;Hippocampus;35.749125863438955
118730-PP;Thalamus;43.243496620879306
118730-PP;WhiteMatter;6.782329983125268
118932;Amygdala;inf
118932;GreyMatter;7.54983443527075
118932;Hippocampus;33.74907406137241
118932;Thalamus;42.731721238442994
118932;WhiteMatter;7.0
118932-PP;Amygdala;inf
118932-PP;GreyMatter;7.54983443527075
118932-PP;Hippocampus;33.74907406137241
118932-PP;Thalamus;42.731721238442994
118932-PP;WhiteMatter;7.0
120111;Amygdala;inf
120111;GreyMatter;4.242640687119285
120111;Hippocampus;55.29014378711634
120111;Thalamus;44.384682042344295
120111;WhiteMatter;3.0
120111-PP;Amygdala;inf
120111-PP;GreyMatter;4.242640687119285
120111-PP;Hippocampus;55.29014378711634
120111-PP;Thalamus;44.384682042344295
120111-PP;WhiteMatter;3.0
122317;Amygdala;inf
122317;GreyMatter;5.477225575051661
122317;Hippocampus;32.38826948140329
122317;Thalamus;44.69899327725402
122317;WhiteMatter;6.0
122317-PP;Amygdala;inf
122317-PP;GreyMatter;5.477225575051661
122317-PP;Hippocampus;32.38826948140329
122317-PP;Thalamus;44.69899327725402
122317-PP;WhiteMatter;6.0
122620;Amygdala;inf
122620;GreyMatter;7.280109889280518
122620;Hippocampus;40.84115571332428
122620;Thalamus;42.708313008125245
122620;WhiteMatter;3.7416573867739413
122620-PP;Amygdala;inf
122620-PP;GreyMatter;7.280109889280518
122620-PP;Hippocampus;40.84115571332428
122620-PP;Thalamus;42.708313008125245
122620-PP;WhiteMatter;3.7416573867739413
123117;Amygdala;inf
123117;GreyMatter;9.433981132056603
123117;Hippocampus;32.51153641401772
123117;Thalamus;44.69899327725402
123117;WhiteMatter;6.4031242374328485
123117-PP;Amygdala;inf
123117-PP;GreyMatter;9.433981132056603
123117-PP;Hippocampus;32.51153641401772
123117-PP;Thalamus;44.69899327725402
123117-PP;WhiteMatter;6.4031242374328485
123925;Amygdala;inf
123925;GreyMatter;7.0710678118654755
123925;Hippocampus;60.249481325568276
123925;Thalamus;40.620192023179804
123925;WhiteMatter;3.605551275463989
123925-PP;Amygdala;inf
123925-PP;GreyMatter;7.0710678118654755
123925-PP;Hippocampus;60.249481325568276
123925-PP;Thalamus;40.620192023179804
123925-PP;WhiteMatter;3.605551275463989
124422;Amygdala;inf
124422;GreyMatter;5.830951894845301
124422;Hippocampus;45.67274898667694
124422;Thalamus;43.382023926967726
124422;WhiteMatter;5.0
124422-PP;Amygdala;inf
124422-PP;GreyMatter;5.830951894845301
124422-PP;Hippocampus;45.67274898667694
124422-PP;Thalamus;43.382023926967726
124422-PP;WhiteMatter;5.0
