feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7652631933369725
1,ATLAS_COORD_Y,0.5541859136672598
0,ATLAS_COORD_X,0.553265692215843
3,T1_INTENSITY,0.5456541340853074
4,T2_INTENSITY,0.5194300328061054
6,T2_GRADIENT,0.3405418057754419
5,T1_GRADIENT,0.304561781908526
9,T1_RADIOMICS_glszm_ZoneEntropy,0.004349754356977709
10,T1_RADIOMICS_glszm_ZoneVariance,0.0040587287657483095
12,T2_RADIOMICS_glszm_LargeAreaEmphasis,0.0038687722447172668
7,T1_RADIOMICS_glszm_SmallAreaEmphasis,0.003540908744111171
11,T2_RADIOMICS_glszm_SmallAreaEmphasis,0.0033394470156462575
13,T2_RADIOMICS_glszm_ZoneEntropy,0.002812364906318976
14,T2_RADIOMICS_glszm_ZoneVariance,0.002506912875365419
8,T1_RADIOMICS_glszm_LargeAreaEmphasis,0.002431193601755588
