feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7666759808655306
1,ATLAS_COORD_Y,0.5547024743295483
0,ATLAS_COORD_X,0.5544706334548377
3,T1_INTENSITY,0.5461990234876872
4,T2_INTENSITY,0.5187745187694603
6,T2_GRADIENT,0.34165469171827656
5,T1_GRADIENT,0.3047620894101337
11,T1_RADIOMICS_shape_Sphericity,0.005063128015980745
16,T1_RADIOMICS_shape_MajorAxisLength,0.00494095167469899
31,T2_RADIOMICS_shape_MinorAxisLength,0.004920249613160621
10,T1_RADIOMICS_shape_SurfaceVolumeRatio,0.0047386707028560515
28,T2_RADIOMICS_shape_Maximum2DDiameterColumn,0.004724685391756189
9,T1_RADIOMICS_shape_SurfaceArea,0.0046588868200867495
8,T1_RADIOMICS_shape_VoxelVolume,0.004475426247616987
27,T2_RADIOMICS_shape_Maximum2DDiameterSlice,0.004392679768703722
33,T2_RADIOMICS_shape_Elongation,0.004242218755217131
30,T2_RADIOMICS_shape_MajorAxisLength,0.003946077543099058
23,T2_RADIOMICS_shape_SurfaceArea,0.003762161068534997
18,T1_RADIOMICS_shape_LeastAxisLength,0.0037299721869685776
15,T1_RADIOMICS_shape_Maximum2DDiameterRow,0.0036869915984798496
17,T1_RADIOMICS_shape_MinorAxisLength,0.00368142144103345
21,T2_RADIOMICS_shape_MeshVolume,0.00357774288336854
13,T1_RADIOMICS_shape_Maximum2DDiameterSlice,0.0034441514251803973
19,T1_RADIOMICS_shape_Elongation,0.003262111783694177
20,T1_RADIOMICS_shape_Flatness,0.0031963240672987503
12,T1_RADIOMICS_shape_Maximum3DDiameter,0.003177121576062092
14,T1_RADIOMICS_shape_Maximum2DDiameterColumn,0.003166457393662725
26,T2_RADIOMICS_shape_Maximum3DDiameter,0.003127189596728197
7,T1_RADIOMICS_shape_MeshVolume,0.003103235437748708
22,T2_RADIOMICS_shape_VoxelVolume,0.002801877835069355
25,T2_RADIOMICS_shape_Sphericity,0.0025571607704710786
34,T2_RADIOMICS_shape_Flatness,0.0025259626200080376
29,T2_RADIOMICS_shape_Maximum2DDiameterRow,0.002300154184316394
24,T2_RADIOMICS_shape_SurfaceVolumeRatio,0.0020636565154386055
32,T2_RADIOMICS_shape_LeastAxisLength,0.001489540130307887
