feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7667479559994057
0,ATLAS_COORD_X,0.5537372191890628
1,ATLAS_COORD_Y,0.5531285443433955
3,T1_INTENSITY,0.5464206232833084
4,T2_INTENSITY,0.5197202068849203
6,T2_GRADIENT,0.34210999630828054
5,T1_GRADIENT,0.30451703050530465
10,T1_RADIOMICS_first_order_Skewness,0.004626778677767618
8,T1_RADIOMICS_first_order_Median,0.004181880941241278
14,T2_RADIOMICS_first_order_Mean,0.003844906295219719
17,T2_RADIOMICS_first_order_Skewness,0.0038363781776817873
16,T2_RADIOMICS_first_order_Variance,0.0038126415881145626
12,T1_RADIOMICS_first_order_Energy,0.00344718543027156
18,T2_RADIOMICS_first_order_Kurtosis,0.0033182414020092033
7,T1_RADIOMICS_first_order_Mean,0.00315503652590321
9,T1_RADIOMICS_first_order_Variance,0.0030937197140064043
19,T2_RADIOMICS_first_order_Energy,0.0028578500067251156
11,T1_RADIOMICS_first_order_Kurtosis,0.0028533066490044057
13,T1_RADIOMICS_first_order_Entropy,0.0028485509537254927
15,T2_RADIOMICS_first_order_Median,0.0026316700820552263
20,T2_RADIOMICS_first_order_Entropy,0.0020785947892272283
