LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.362026524555111
Amygdala;DICE;STD;0.05234018650949475
Amygdala;HDRFDST;MEAN;12.032264730279028
Amygdala;HDRFDST;STD;1.2347491488085058
GreyMatter;DICE;MEAN;0.7100372875942219
GreyMatter;DICE;STD;0.014060277167576041
GreyMatter;HDRFDST;MEAN;2.3065592253558798
GreyMatter;HDRFDST;STD;0.6162666143201999
Hippocampus;DICE;MEAN;0.29808241485982434
Hippocampus;DICE;STD;0.04077170312349558
Hippocampus;HDRFDST;MEAN;14.684489054718625
Hippocampus;HDRFDST;STD;1.2711338253106437
Thalamus;DICE;MEAN;0.6114550801667559
Thalamus;DICE;STD;0.0342736697144011
Thalamus;HDRFDST;MEAN;11.379236185746084
Thalamus;HDRFDST;STD;2.9347885492837285
WhiteMatter;DICE;MEAN;0.811327134191791
WhiteMatter;DICE;STD;0.031181101087149374
WhiteMatter;HDRFDST;MEAN;3.0662083484981584
WhiteMatter;HDRFDST;STD;0.7059506807137408
