feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7663469219577623
0,ATLAS_COORD_X,0.5552772356565248
1,ATLAS_COORD_Y,0.5551190402261017
3,T1_INTENSITY,0.5457740382846514
4,T2_INTENSITY,0.5197380783283312
6,T2_GRADIENT,0.341855780354793
5,T1_GRADIENT,0.3048594574290009
9,T1_RADIOMICS_gldm_GrayLevelVariance,0.004804470213558343
12,T2_RADIOMICS_gldm_GrayLevelVariance,0.004409150554995911
8,T1_RADIOMICS_gldm_DependenceEntropy,0.0032145064980513283
7,T1_RADIOMICS_gldm_DependenceNonUniformity,0.0030300164240220084
11,T2_RADIOMICS_gldm_DependenceEntropy,0.0028273421682389888
10,T2_RADIOMICS_gldm_DependenceNonUniformity,0.001992243594254983
