feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7672951552981295
1,ATLAS_COORD_Y,0.5548305978883596
0,ATLAS_COORD_X,0.5538278783615016
3,T1_INTENSITY,0.5463051360279509
4,T2_INTENSITY,0.5196433452769424
6,T2_GRADIENT,0.34146895593450166
5,T1_GRADIENT,0.3041943980102304
13,T2_RADIOMICS_glrlm_GrayLevelNonUniformity,0.003617234090660393
12,T2_RADIOMICS_glrlm_LongRunEmphasis,0.0033479809393659465
9,T1_RADIOMICS_glrlm_GrayLevelNonUniformity,0.0031782859132536423
14,T2_RADIOMICS_glrlm_RunEntropy,0.003106159042286283
7,T1_RADIOMICS_glrlm_ShortRunEmphasis,0.002943362225301005
10,T1_RADIOMICS_glrlm_RunEntropy,0.0026054933743928643
11,T2_RADIOMICS_glrlm_ShortRunEmphasis,0.0023058096162782427
8,T1_RADIOMICS_glrlm_LongRunEmphasis,0.0006799491602511587
