LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.367795383551528
Amygdala;DICE;STD;0.053148120432576204
Amygdala;HDRFDST;MEAN;12.011272761882086
Amygdala;HDRFDST;STD;1.2567126320959148
GreyMatter;DICE;MEAN;0.7100140137015643
GreyMatter;DICE;STD;0.01421067314481796
GreyMatter;HDRFDST;MEAN;2.3523118747640432
GreyMatter;HDRFDST;STD;0.6454679262706028
Hippocampus;DICE;MEAN;0.30049188989471054
Hippocampus;DICE;STD;0.04068524624625607
Hippocampus;HDRFDST;MEAN;14.780873105130905
Hippocampus;HDRFDST;STD;0.9087300204229096
Thalamus;DICE;MEAN;0.6148711907099209
Thalamus;DICE;STD;0.034163029428597315
Thalamus;HDRFDST;MEAN;11.810144997668319
Thalamus;HDRFDST;STD;2.137866958921902
WhiteMatter;DICE;MEAN;0.8075835443113153
WhiteMatter;DICE;STD;0.031819044297940934
WhiteMatter;HDRFDST;MEAN;2.8438184144762544
WhiteMatter;HDRFDST;STD;0.6022431614271442
