feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7661425366710561
0,ATLAS_COORD_X,0.5557210860259405
1,ATLAS_COORD_Y,0.5542283820444713
3,T1_INTENSITY,0.5473204603071291
4,T2_INTENSITY,0.5205426639185844
6,T2_GRADIENT,0.3417694009194947
5,T1_GRADIENT,0.30494737602627087
13,T2_RADIOMICS_glszm_ZoneEntropy,0.004662123164717702
9,T1_RADIOMICS_glszm_ZoneEntropy,0.00461455315719661
12,T2_RADIOMICS_glszm_LargeAreaEmphasis,0.004029016873630997
10,T1_RADIOMICS_glszm_ZoneVariance,0.00387722011656777
11,T2_RADIOMICS_glszm_SmallAreaEmphasis,0.003135570245400121
7,T1_RADIOMICS_glszm_SmallAreaEmphasis,0.0027893520796489213
8,T1_RADIOMICS_glszm_LargeAreaEmphasis,0.00216453773414349
14,T2_RADIOMICS_glszm_ZoneVariance,0.0021568155747870854
