feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7681198200402122
1,ATLAS_COORD_Y,0.553958101674926
0,ATLAS_COORD_X,0.5537179834880281
3,T1_INTENSITY,0.5460306466611129
4,T2_INTENSITY,0.519157677908352
6,T2_GRADIENT,0.33992979454183736
5,T1_GRADIENT,0.3042666715185973
9,T1_RADIOMICS_ngtdm_Busyness,0.004616086471468606
13,T2_RADIOMICS_ngtdm_Contrast,0.004351731078892307
16,T2_RADIOMICS_ngtdm_Strength,0.003889033749711057
12,T2_RADIOMICS_ngtdm_Coarseness,0.0037211069730114232
8,T1_RADIOMICS_ngtdm_Contrast,0.003627850565643076
15,T2_RADIOMICS_ngtdm_Complexity,0.00333836278862476
11,T1_RADIOMICS_ngtdm_Strength,0.003120540007429895
7,T1_RADIOMICS_ngtdm_Coarseness,0.0030776397445761994
10,T1_RADIOMICS_ngtdm_Complexity,0.0028850902559942604
14,T2_RADIOMICS_ngtdm_Busyness,0.0018581992043178452
