SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.32883420177035594;13.379088160259652
117122;GreyMatter;0.7088275091803465;2.23606797749979
117122;Hippocampus;0.3483935945210998;13.92838827718412
117122;Thalamus;0.6162207510349984;11.357816691600547
117122;WhiteMatter;0.8263313157560578;4.47213595499958
117122-PP;Amygdala;0.2702702702702703;13.74772708486752
117122-PP;GreyMatter;0.7085486472283131;2.23606797749979
117122-PP;Hippocampus;0.26584647481131496;14.071247279470288
117122-PP;Thalamus;0.6216119761828734;9.899494936611665
117122-PP;WhiteMatter;0.8267723412558303;3.605551275463989
118528;Amygdala;0.35527648369455134;13.638181696985855
118528;GreyMatter;0.6932740054358422;2.0
118528;Hippocampus;0.3392723929147655;16.401219466856727
118528;Thalamus;0.5813647028573266;14.317821063276353
118528;WhiteMatter;0.7315453030772644;4.242640687119285
118528-PP;Amygdala;0.2872747132714364;14.352700094407323
118528-PP;GreyMatter;0.6922576537567402;2.0
118528-PP;Hippocampus;0.260938912222872;16.76305461424021
118528-PP;Thalamus;0.5982249700837654;11.916375287812984
118528-PP;WhiteMatter;0.7329619593289839;3.605551275463989
118730;Amygdala;0.3722850475677616;11.532562594670797
118730;GreyMatter;0.7163526402700436;2.23606797749979
118730;Hippocampus;0.30747100274950384;13.74772708486752
118730;Thalamus;0.5695218786957257;10.954451150103322
118730;WhiteMatter;0.8138466115261739;3.0
118730-PP;Amygdala;0.3066922736002364;11.74734012447073
118730-PP;GreyMatter;0.7160971135484807;2.23606797749979
118730-PP;Hippocampus;0.24298958616059313;14.352700094407323
118730-PP;Thalamus;0.585545335085414;9.055385138137417
118730-PP;WhiteMatter;0.814119488808273;2.23606797749979
118932;Amygdala;0.3618516723218614;12.68857754044952
118932;GreyMatter;0.7233163641808285;2.23606797749979
118932;Hippocampus;0.32527637249391045;14.212670403551895
118932;Thalamus;0.6357932374125453;8.774964387392123
118932;WhiteMatter;0.8198529902572003;3.0
118932-PP;Amygdala;0.29886784891293455;12.529964086141668
118932-PP;GreyMatter;0.7229527565919085;2.23606797749979
118932-PP;Hippocampus;0.25537606749665603;14.730919862656235
118932-PP;Thalamus;0.645738163532703;7.681145747868608
118932-PP;WhiteMatter;0.820164852026194;2.23606797749979
120111;Amygdala;0.39068006787625637;9.433981132056603
120111;GreyMatter;0.7132672855333289;2.0
120111;Hippocampus;0.34739214423696074;13.601470508735444
120111;Thalamus;0.5722151630664972;15.0996688705415
120111;WhiteMatter;0.8098193920201352;2.8284271247461903
120111-PP;Amygdala;0.32149572879170474;10.04987562112089
120111-PP;GreyMatter;0.7125844451286131;2.23606797749979
120111-PP;Hippocampus;0.26627901610595783;13.638181696985855
120111-PP;Thalamus;0.5831076421013676;14.352700094407323
120111-PP;WhiteMatter;0.8093049488118862;2.23606797749979
122317;Amygdala;0.43007353446498525;13.0
122317;GreyMatter;0.7180157121247743;2.0
122317;Hippocampus;0.3201978920197892;13.96424004376894
122317;Thalamus;0.5947245727711595;8.602325267042627
122317;WhiteMatter;0.8000079748923805;4.58257569495584
122317-PP;Amygdala;0.3531204153030132;12.96148139681572
122317-PP;GreyMatter;0.7175426311276218;2.0
122317-PP;Hippocampus;0.24819092111926036;14.866068747318506
122317-PP;Thalamus;0.6083567138042066;7.874007874011811
122317-PP;WhiteMatter;0.7999751944636725;4.123105625617661
122620;Amygdala;0.42784132392309565;12.529964086141668
122620;GreyMatter;0.7286165889523232;2.23606797749979
122620;Hippocampus;0.3409108044937043;14.866068747318506
122620;Thalamus;0.6216478751084128;9.899494936611665
122620;WhiteMatter;0.8106481369157087;3.0
122620-PP;Amygdala;0.3573155985489722;12.529964086141668
122620-PP;GreyMatter;0.7285408483317113;2.23606797749979
122620-PP;Hippocampus;0.265237053245806;15.0
122620-PP;Thalamus;0.6340069985003214;8.660254037844387
122620-PP;WhiteMatter;0.8103881405944975;2.23606797749979
123117;Amygdala;0.3574309275868296;12.083045973594572
123117;GreyMatter;0.6874936446623977;4.47213595499958
123117;Hippocampus;0.3119571308489773;14.89966442575134
123117;Thalamus;0.5672139641827779;16.64331697709324
123117;WhiteMatter;0.8499314144293597;3.1622776601683795
123117-PP;Amygdala;0.29113612900054076;12.328828005937952
123117-PP;GreyMatter;0.6877262051407276;4.123105625617661
123117-PP;Hippocampus;0.2517942921729302;15.0996688705415
123117-PP;Thalamus;0.5781638960821986;15.0
123117-PP;WhiteMatter;0.8504258379330858;2.23606797749979
123925;Amygdala;0.39202965708989806;11.704699910719626
123925;GreyMatter;0.7080586403501457;2.0
123925;Hippocampus;0.32309870767686544;14.730919862656235
123925;Thalamus;0.6293579825178338;14.2828568570857
123925;WhiteMatter;0.7996792627068248;3.3166247903554
123925-PP;Amygdala;0.32272108843537417;12.206555615733702
123925-PP;GreyMatter;0.7080518709735061;2.0
123925-PP;Hippocampus;0.2563306326398103;15.297058540778355
123925-PP;Thalamus;0.644899229093926;12.36931687685298
123925-PP;WhiteMatter;0.7995617781849185;3.0
124422;Amygdala;0.4765385368400444;10.677078252031311
124422;GreyMatter;0.6868059291835287;2.0
124422;Hippocampus;0.3427352085354025;13.638181696985855
124422;Thalamus;0.6477168000867382;12.041594578792296
124422;WhiteMatter;0.742462998571101;4.123105625617661
124422-PP;Amygdala;0.3917856569870046;10.63014581273465
124422-PP;GreyMatter;0.685964735058758;2.0
124422-PP;Hippocampus;0.2657232000238852;14.247806848775006
124422-PP;Thalamus;0.664744293341767;10.198039027185569
124422-PP;WhiteMatter;0.7424721886346921;3.7416573867739413
