LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3546760588128563
Amygdala;DICE;STD;0.052080447972689216
Amygdala;HDRFDST;MEAN;12.18758806376407
Amygdala;HDRFDST;STD;1.2299175533325517
GreyMatter;DICE;MEAN;0.7082147613379968
GreyMatter;DICE;STD;0.01398506071528946
GreyMatter;HDRFDST;MEAN;2.3359926689057673
GreyMatter;HDRFDST;STD;0.6656863006090106
Hippocampus;DICE;MEAN;0.29427057032450327
Hippocampus;DICE;STD;0.03815894073877372
Hippocampus;HDRFDST;MEAN;14.602862853642492
Hippocampus;HDRFDST;STD;0.8404739601607087
Thalamus;DICE;MEAN;0.6100088072771279
Thalamus;DICE;STD;0.029382382214658363
Thalamus;HDRFDST;MEAN;11.449051490013606
Thalamus;HDRFDST;STD;2.6588004774742373
WhiteMatter;DICE;MEAN;0.800513606509712
WhiteMatter;DICE;STD;0.03452338152148765
WhiteMatter;HDRFDST;MEAN;3.2491996494390434
WhiteMatter;HDRFDST;STD;0.7698711827865743
