LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3561771099316222
Amygdala;DICE;STD;0.05393327487171609
Amygdala;HDRFDST;MEAN;12.085363281758331
Amygdala;HDRFDST;STD;1.2222906151678896
GreyMatter;DICE;MEAN;0.7083619463723355
GreyMatter;DICE;STD;0.014543843857048875
GreyMatter;HDRFDST;MEAN;2.33484394098283
GreyMatter;HDRFDST;STD;0.4455376204719031
Hippocampus;DICE;MEAN;0.283875781010988
Hippocampus;DICE;STD;0.036294043545392
Hippocampus;HDRFDST;MEAN;15.845788436049663
Hippocampus;HDRFDST;STD;1.4869394204051887
Thalamus;DICE;MEAN;0.5954747571088845
Thalamus;DICE;STD;0.0356793121207913
Thalamus;HDRFDST;MEAN;13.449898700860535
Thalamus;HDRFDST;STD;2.8107338786498564
WhiteMatter;DICE;MEAN;0.8023661915846478
WhiteMatter;DICE;STD;0.033571737186862835
WhiteMatter;HDRFDST;MEAN;3.0896904270104626
WhiteMatter;HDRFDST;STD;0.6736564890505414
