LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3674830186267289
Amygdala;DICE;STD;0.054660333080022536
Amygdala;HDRFDST;MEAN;12.05464484810439
Amygdala;HDRFDST;STD;1.3548201305229899
GreyMatter;DICE;MEAN;0.7054201452462115
GreyMatter;DICE;STD;0.013611470494907343
GreyMatter;HDRFDST;MEAN;2.39815795462744
GreyMatter;HDRFDST;STD;0.4988370722561974
Hippocampus;DICE;MEAN;0.2690154253074831
Hippocampus;DICE;STD;0.03433609067969181
Hippocampus;HDRFDST;MEAN;17.02784835646986
Hippocampus;HDRFDST;STD;1.0965310524862864
Thalamus;DICE;MEAN;0.5864679222184473
Thalamus;DICE;STD;0.040797157498654105
Thalamus;HDRFDST;MEAN;13.900144400763855
Thalamus;HDRFDST;STD;2.536924444659952
WhiteMatter;DICE;MEAN;0.8019957190110695
WhiteMatter;DICE;STD;0.03320878677742425
WhiteMatter;HDRFDST;MEAN;3.5676076209605645
WhiteMatter;HDRFDST;STD;0.81986331962352
