LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36821651717714143
Amygdala;DICE;STD;0.05848330323893248
Amygdala;HDRFDST;MEAN;12.14089268216258
Amygdala;HDRFDST;STD;1.2242241952400472
GreyMatter;DICE;MEAN;0.6924726050019833
GreyMatter;DICE;STD;0.030554184357910425
GreyMatter;HDRFDST;MEAN;2.683368374144147
GreyMatter;HDRFDST;STD;1.3414671701696612
Hippocampus;DICE;MEAN;0.2734705814674803
Hippocampus;DICE;STD;0.041727752692634276
Hippocampus;HDRFDST;MEAN;16.22838999296199
Hippocampus;HDRFDST;STD;1.8273911010867543
Thalamus;DICE;MEAN;0.5841598948433201
Thalamus;DICE;STD;0.027763183001714146
Thalamus;HDRFDST;MEAN;14.2363574857446
Thalamus;HDRFDST;STD;2.761544049636668
WhiteMatter;DICE;MEAN;0.7795827788438109
WhiteMatter;DICE;STD;0.05008763041662245
WhiteMatter;HDRFDST;MEAN;3.679827511287197
WhiteMatter;HDRFDST;STD;0.9792188147568818
