LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3634650157278888
Amygdala;DICE;STD;0.052449951011968025
Amygdala;HDRFDST;MEAN;12.055022436587848
Amygdala;HDRFDST;STD;1.2555612503433002
GreyMatter;DICE;MEAN;0.7124359106829801
GreyMatter;DICE;STD;0.013353216341351738
GreyMatter;HDRFDST;MEAN;2.3089826407872636
GreyMatter;HDRFDST;STD;0.5182655347821942
Hippocampus;DICE;MEAN;0.30488696498431095
Hippocampus;DICE;STD;0.04127571535294977
Hippocampus;HDRFDST;MEAN;14.504333852052593
Hippocampus;HDRFDST;STD;1.3871912298602511
Thalamus;DICE;MEAN;0.6122609858236968
Thalamus;DICE;STD;0.034181384549549616
Thalamus;HDRFDST;MEAN;11.647987244490034
Thalamus;HDRFDST;STD;2.7247739635054966
WhiteMatter;DICE;MEAN;0.8108492311822427
WhiteMatter;DICE;STD;0.027257560711947633
WhiteMatter;HDRFDST;MEAN;2.98551949758023
WhiteMatter;HDRFDST;STD;0.43205709063536185
