LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35617481706687104
Amygdala;DICE;STD;0.0549340874413381
Amygdala;HDRFDST;MEAN;12.22016925701505
Amygdala;HDRFDST;STD;1.271795317613744
GreyMatter;DICE;MEAN;0.7084697317545335
GreyMatter;DICE;STD;0.012453096668629546
GreyMatter;HDRFDST;MEAN;2.3471792419122743
GreyMatter;HDRFDST;STD;0.5392120235455823
Hippocampus;DICE;MEAN;0.3048231818871225
Hippocampus;DICE;STD;0.04062990943887486
Hippocampus;HDRFDST;MEAN;14.674512934364623
Hippocampus;HDRFDST;STD;1.0993953516207742
Thalamus;DICE;MEAN;0.6178086491401287
Thalamus;DICE;STD;0.03588501854826336
Thalamus;HDRFDST;MEAN;11.253520366231122
Thalamus;HDRFDST;STD;2.9254537027308043
WhiteMatter;DICE;MEAN;0.8112517963678616
WhiteMatter;DICE;STD;0.03438009825797631
WhiteMatter;HDRFDST;MEAN;3.0859702987617768
WhiteMatter;HDRFDST;STD;0.6904978748411543
