LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36419491682356286
Amygdala;DICE;STD;0.05544623309281176
Amygdala;HDRFDST;MEAN;12.10652801309737
Amygdala;HDRFDST;STD;1.217365790585832
GreyMatter;DICE;MEAN;0.6966580851086132
GreyMatter;DICE;STD;0.02162536712702993
GreyMatter;HDRFDST;MEAN;2.5865398937235926
GreyMatter;HDRFDST;STD;1.0769453923836374
Hippocampus;DICE;MEAN;0.2894366376185507
Hippocampus;DICE;STD;0.03937644903106961
Hippocampus;HDRFDST;MEAN;14.787162722099541
Hippocampus;HDRFDST;STD;0.9948962911528664
Thalamus;DICE;MEAN;0.6072052642807766
Thalamus;DICE;STD;0.026864860777340585
Thalamus;HDRFDST;MEAN;10.968221067246343
Thalamus;HDRFDST;STD;2.3554461615612197
WhiteMatter;DICE;MEAN;0.7933921350716682
WhiteMatter;DICE;STD;0.046345295201197255
WhiteMatter;HDRFDST;MEAN;3.240378514785595
WhiteMatter;HDRFDST;STD;0.8659948503980265
