LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36263027459677344
Amygdala;DICE;STD;0.0529959429938622
Amygdala;HDRFDST;MEAN;12.043172497881557
Amygdala;HDRFDST;STD;1.2497984582601003
GreyMatter;DICE;MEAN;0.7078242828265731
GreyMatter;DICE;STD;0.015295350071595925
GreyMatter;HDRFDST;MEAN;2.317096523795682
GreyMatter;HDRFDST;STD;0.42551580395322947
Hippocampus;DICE;MEAN;0.2852986844972648
Hippocampus;DICE;STD;0.03608175540358975
Hippocampus;HDRFDST;MEAN;15.649436494890363
Hippocampus;HDRFDST;STD;0.863213410689171
Thalamus;DICE;MEAN;0.5938826778334751
Thalamus;DICE;STD;0.03439931601262173
Thalamus;HDRFDST;MEAN;14.591788817338337
Thalamus;HDRFDST;STD;2.8159721430085
WhiteMatter;DICE;MEAN;0.8039808897583324
WhiteMatter;DICE;STD;0.0359794471486264
WhiteMatter;HDRFDST;MEAN;3.3471944312512205
WhiteMatter;HDRFDST;STD;0.7044781326633308
