LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.10572470635590898
Amygdala;DICE;STD;0.015335306775938149
Amygdala;HDRFDST;MEAN;64.30112090581552
Amygdala;HDRFDST;STD;1.0797454587504394
GreyMatter;DICE;MEAN;0.6201174251644449
GreyMatter;DICE;STD;0.025902692331024886
GreyMatter;HDRFDST;MEAN;9.084032582121367
GreyMatter;HDRFDST;STD;0.8546063695979549
Hippocampus;DICE;MEAN;0.0847229737816263
Hippocampus;DICE;STD;0.009207323938011746
Hippocampus;HDRFDST;MEAN;61.960201894584586
Hippocampus;HDRFDST;STD;1.016553580642671
Thalamus;DICE;MEAN;0.5337269267374294
Thalamus;DICE;STD;0.020860604333996
Thalamus;HDRFDST;MEAN;22.909085296334005
Thalamus;HDRFDST;STD;7.136092129820982
WhiteMatter;DICE;MEAN;0.7147807586309619
WhiteMatter;DICE;STD;0.041049265470154646
WhiteMatter;HDRFDST;MEAN;8.094671476799656
WhiteMatter;HDRFDST;STD;4.321607765946151
