LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.07590080197754409
Amygdala;DICE;STD;0.010465027811486316
Amygdala;HDRFDST;MEAN;65.2943797612029
Amygdala;HDRFDST;STD;0.9186792692866482
GreyMatter;DICE;MEAN;0.6233138026897994
GreyMatter;DICE;STD;0.024018245103756886
GreyMatter;HDRFDST;MEAN;8.157098913171719
GreyMatter;HDRFDST;STD;1.0058515401055677
Hippocampus;DICE;MEAN;0.08039837541164246
Hippocampus;DICE;STD;0.008795644371797001
Hippocampus;HDRFDST;MEAN;61.2962175171773
Hippocampus;HDRFDST;STD;1.331810079135473
Thalamus;DICE;MEAN;0.530329139840671
Thalamus;DICE;STD;0.021723074332353275
Thalamus;HDRFDST;MEAN;31.59127688800613
Thalamus;HDRFDST;STD;10.239200387985845
WhiteMatter;DICE;MEAN;0.7260604555623147
WhiteMatter;DICE;STD;0.040918330386782026
WhiteMatter;HDRFDST;MEAN;8.944686539682086
WhiteMatter;HDRFDST;STD;5.068785131254835
