LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09814828834410347
Amygdala;DICE;STD;0.013913069869182356
Amygdala;HDRFDST;MEAN;65.11448549687948
Amygdala;HDRFDST;STD;0.9766158285991624
GreyMatter;DICE;MEAN;0.6376541274232426
GreyMatter;DICE;STD;0.022438675982989438
GreyMatter;HDRFDST;MEAN;7.619984087006829
GreyMatter;HDRFDST;STD;0.579519209140408
Hippocampus;DICE;MEAN;0.08690203783583805
Hippocampus;DICE;STD;0.009843958015751407
Hippocampus;HDRFDST;MEAN;62.097861111889884
Hippocampus;HDRFDST;STD;1.0028186917062858
Thalamus;DICE;MEAN;0.5238036257196506
Thalamus;DICE;STD;0.021870661162287374
Thalamus;HDRFDST;MEAN;34.754027695994814
Thalamus;HDRFDST;STD;9.51354607420519
WhiteMatter;DICE;MEAN;0.6875800642407004
WhiteMatter;DICE;STD;0.0359408514722119
WhiteMatter;HDRFDST;MEAN;9.855915135711953
WhiteMatter;HDRFDST;STD;1.2887733849067715
