LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09676940619758548
Amygdala;DICE;STD;0.013399052610310892
Amygdala;HDRFDST;MEAN;65.16808265917223
Amygdala;HDRFDST;STD;0.9596887658488897
GreyMatter;DICE;MEAN;0.634133319393985
GreyMatter;DICE;STD;0.023905332054164227
GreyMatter;HDRFDST;MEAN;8.149673239032374
GreyMatter;HDRFDST;STD;1.0643430353977008
Hippocampus;DICE;MEAN;0.08347169626144609
Hippocampus;DICE;STD;0.009164670223631785
Hippocampus;HDRFDST;MEAN;62.3792270471151
Hippocampus;HDRFDST;STD;0.990975783994542
Thalamus;DICE;MEAN;0.5342253922951782
Thalamus;DICE;STD;0.022359572771949634
Thalamus;HDRFDST;MEAN;31.84580756552562
Thalamus;HDRFDST;STD;9.962155414342355
WhiteMatter;DICE;MEAN;0.6941448034509972
WhiteMatter;DICE;STD;0.03864139784381185
WhiteMatter;HDRFDST;MEAN;8.517979765741437
WhiteMatter;HDRFDST;STD;3.8786622320613917
