LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1067214821506169
Amygdala;DICE;STD;0.01598653853735545
Amygdala;HDRFDST;MEAN;64.23409655971606
Amygdala;HDRFDST;STD;1.1094319073613923
GreyMatter;DICE;MEAN;0.6174205465583563
GreyMatter;DICE;STD;0.02971226752442142
GreyMatter;HDRFDST;MEAN;7.019280948715215
GreyMatter;HDRFDST;STD;0.9108759317292585
Hippocampus;DICE;MEAN;0.09151042374648023
Hippocampus;DICE;STD;0.009915115840084875
Hippocampus;HDRFDST;MEAN;61.51084264106222
Hippocampus;HDRFDST;STD;1.0799248059386017
Thalamus;DICE;MEAN;0.5246543729486581
Thalamus;DICE;STD;0.021607989274517937
Thalamus;HDRFDST;MEAN;33.63095518643361
Thalamus;HDRFDST;STD;8.628954354271137
WhiteMatter;DICE;MEAN;0.7104990439687373
WhiteMatter;DICE;STD;0.04353548085977728
WhiteMatter;HDRFDST;MEAN;8.246642105396136
WhiteMatter;HDRFDST;STD;4.22408498795983
