feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.765253633492641
1,ATLAS_COORD_Y,0.5565398830661725
0,ATLAS_COORD_X,0.5548234312415348
3,T1_INTENSITY,0.5461041200473278
4,T2_INTENSITY,0.519440351309195
6,T2_GRADIENT,0.3411778868018458
5,T1_GRADIENT,0.3047921116469512
18,T2_RADIOMICS_first_order_Kurtosis,0.005320263455960372
10,T1_RADIOMICS_first_order_Skewness,0.005225453281571202
11,T1_RADIOMICS_first_order_Kurtosis,0.005102539123171823
19,T2_RADIOMICS_first_order_Energy,0.004573663338793832
7,T1_RADIOMICS_first_order_Mean,0.004159087128345895
24,T1_RADIOMICS_glcm_JointEntropy,0.004080199968611531
38,T2_RADIOMICS_glcm_DifferenceVariance,0.004046818928046925
15,T2_RADIOMICS_first_order_Median,0.004026219326277669
36,T2_RADIOMICS_glcm_ClusterProminence,0.00391172186789035
17,T2_RADIOMICS_first_order_Skewness,0.003905357510487928
14,T2_RADIOMICS_first_order_Mean,0.00371258967002408
20,T2_RADIOMICS_first_order_Entropy,0.003657211342104283
23,T1_RADIOMICS_glcm_Idm,0.0035493912331618915
37,T2_RADIOMICS_glcm_ClusterShade,0.003524609299649928
31,T2_RADIOMICS_glcm_Correlation,0.003387498428526481
28,T1_RADIOMICS_glcm_ClusterShade,0.0033865274679194535
21,T1_RADIOMICS_glcm_Contrast,0.0033368655517693746
29,T1_RADIOMICS_glcm_DifferenceVariance,0.0032119062029289935
8,T1_RADIOMICS_first_order_Median,0.00316115797514005
13,T1_RADIOMICS_first_order_Entropy,0.0031571471692379838
27,T1_RADIOMICS_glcm_ClusterProminence,0.0030128233120523262
26,T1_RADIOMICS_glcm_Autocorrelation,0.0029866452780060726
12,T1_RADIOMICS_first_order_Energy,0.0029706297561338246
35,T2_RADIOMICS_glcm_Autocorrelation,0.002951889281715303
32,T2_RADIOMICS_glcm_Idm,0.002929156039420455
16,T2_RADIOMICS_first_order_Variance,0.0029158375748057352
33,T2_RADIOMICS_glcm_JointEntropy,0.002858087411125254
9,T1_RADIOMICS_first_order_Variance,0.0028190762702138272
25,T1_RADIOMICS_glcm_JointEnergy,0.0027436580644564224
22,T1_RADIOMICS_glcm_Correlation,0.002377567366945943
30,T2_RADIOMICS_glcm_Contrast,0.00204563635786581
34,T2_RADIOMICS_glcm_JointEnergy,0.0018647393735249373
