feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7662363729995665
1,ATLAS_COORD_Y,0.5553988976278157
0,ATLAS_COORD_X,0.5548409291857623
3,T1_INTENSITY,0.5449232152026782
4,T2_INTENSITY,0.5195233046939023
6,T2_GRADIENT,0.34030070095477916
5,T1_GRADIENT,0.3034054852559027
14,T2_RADIOMICS_first_order_Mean,0.005352110529330378
46,T2_RADIOMICS_glrlm_RunEntropy,0.004560379376991719
12,T1_RADIOMICS_first_order_Energy,0.004409544060315351
13,T1_RADIOMICS_first_order_Entropy,0.004355612458445179
35,T2_RADIOMICS_glcm_Autocorrelation,0.004271458875697576
20,T2_RADIOMICS_first_order_Entropy,0.004264016690826544
41,T1_RADIOMICS_glrlm_GrayLevelNonUniformity,0.004131656319068533
19,T2_RADIOMICS_first_order_Energy,0.004126424204517143
30,T2_RADIOMICS_glcm_Contrast,0.004092022076704005
25,T1_RADIOMICS_glcm_JointEnergy,0.004073249328075068
7,T1_RADIOMICS_first_order_Mean,0.003904493688565047
44,T2_RADIOMICS_glrlm_LongRunEmphasis,0.0038492803228127315
26,T1_RADIOMICS_glcm_Autocorrelation,0.003846008925929567
43,T2_RADIOMICS_glrlm_ShortRunEmphasis,0.0038217046736495064
16,T2_RADIOMICS_first_order_Variance,0.003768514276287327
27,T1_RADIOMICS_glcm_ClusterProminence,0.0037526382032826433
45,T2_RADIOMICS_glrlm_GrayLevelNonUniformity,0.0036270081881943916
34,T2_RADIOMICS_glcm_JointEnergy,0.0035764290445849944
39,T1_RADIOMICS_glrlm_ShortRunEmphasis,0.0035731807813759175
36,T2_RADIOMICS_glcm_ClusterProminence,0.003504814511493759
11,T1_RADIOMICS_first_order_Kurtosis,0.0034687470942253995
24,T1_RADIOMICS_glcm_JointEntropy,0.003411638433832298
32,T2_RADIOMICS_glcm_Idm,0.003407596491389775
33,T2_RADIOMICS_glcm_JointEntropy,0.003362955732590489
21,T1_RADIOMICS_glcm_Contrast,0.0033170439756742276
28,T1_RADIOMICS_glcm_ClusterShade,0.0033116426943746724
40,T1_RADIOMICS_glrlm_LongRunEmphasis,0.0032776029709005172
17,T2_RADIOMICS_first_order_Skewness,0.0032209611582145747
29,T1_RADIOMICS_glcm_DifferenceVariance,0.0032087048291260523
15,T2_RADIOMICS_first_order_Median,0.0030397359230036614
23,T1_RADIOMICS_glcm_Idm,0.002867730662111878
10,T1_RADIOMICS_first_order_Skewness,0.0028671162285998086
38,T2_RADIOMICS_glcm_DifferenceVariance,0.002833697059438478
42,T1_RADIOMICS_glrlm_RunEntropy,0.002643381553992352
8,T1_RADIOMICS_first_order_Median,0.0026216530319254083
18,T2_RADIOMICS_first_order_Kurtosis,0.002573437614798113
37,T2_RADIOMICS_glcm_ClusterShade,0.0024769288194197436
31,T2_RADIOMICS_glcm_Correlation,0.0024518098092469742
22,T1_RADIOMICS_glcm_Correlation,0.0021041813753557292
9,T1_RADIOMICS_first_order_Variance,0.0018905754135336572
