feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7681298436478718
0,ATLAS_COORD_X,0.5543008689442772
1,ATLAS_COORD_Y,0.5533666682827967
3,T1_INTENSITY,0.5444676297850779
4,T2_INTENSITY,0.5183894483771994
6,T2_GRADIENT,0.34191900018514065
5,T1_GRADIENT,0.3040529970790611
10,T1_RADIOMICS_first_order_Skewness,0.00573877720950966
50,T1_RADIOMICS_glszm_ZoneVariance,0.005648847713242144
38,T2_RADIOMICS_glcm_DifferenceVariance,0.005341623607078461
46,T2_RADIOMICS_glrlm_RunEntropy,0.0049948628279539165
51,T2_RADIOMICS_glszm_SmallAreaEmphasis,0.004856394027209721
30,T2_RADIOMICS_glcm_Contrast,0.004797504049781853
52,T2_RADIOMICS_glszm_LargeAreaEmphasis,0.0044539449845646395
40,T1_RADIOMICS_glrlm_LongRunEmphasis,0.004433297287603111
36,T2_RADIOMICS_glcm_ClusterProminence,0.004408119235571828
16,T2_RADIOMICS_first_order_Variance,0.004286740216967733
11,T1_RADIOMICS_first_order_Kurtosis,0.004241569580794469
18,T2_RADIOMICS_first_order_Kurtosis,0.0041883055033249406
14,T2_RADIOMICS_first_order_Mean,0.004112335634288922
34,T2_RADIOMICS_glcm_JointEnergy,0.003942669562446266
49,T1_RADIOMICS_glszm_ZoneEntropy,0.0038331661903514558
42,T1_RADIOMICS_glrlm_RunEntropy,0.0038103804292863863
47,T1_RADIOMICS_glszm_SmallAreaEmphasis,0.0037936189359388806
43,T2_RADIOMICS_glrlm_ShortRunEmphasis,0.0037537811053796055
20,T2_RADIOMICS_first_order_Entropy,0.003752554309988554
15,T2_RADIOMICS_first_order_Median,0.0037309264964200395
41,T1_RADIOMICS_glrlm_GrayLevelNonUniformity,0.00372843716099025
29,T1_RADIOMICS_glcm_DifferenceVariance,0.003688058953758233
22,T1_RADIOMICS_glcm_Correlation,0.0036523671976134153
35,T2_RADIOMICS_glcm_Autocorrelation,0.003634488767669364
48,T1_RADIOMICS_glszm_LargeAreaEmphasis,0.003586972951397982
53,T2_RADIOMICS_glszm_ZoneEntropy,0.0035700277318944096
54,T2_RADIOMICS_glszm_ZoneVariance,0.0034815663359055726
32,T2_RADIOMICS_glcm_Idm,0.0034161955824170143
12,T1_RADIOMICS_first_order_Energy,0.0034126338230118236
25,T1_RADIOMICS_glcm_JointEnergy,0.003261501064754757
31,T2_RADIOMICS_glcm_Correlation,0.0031469262530037234
27,T1_RADIOMICS_glcm_ClusterProminence,0.0031263422079805814
7,T1_RADIOMICS_first_order_Mean,0.003091961585647063
19,T2_RADIOMICS_first_order_Energy,0.002930022511083763
24,T1_RADIOMICS_glcm_JointEntropy,0.002822749334985275
28,T1_RADIOMICS_glcm_ClusterShade,0.0027385380414806093
13,T1_RADIOMICS_first_order_Entropy,0.0026650253564159954
17,T2_RADIOMICS_first_order_Skewness,0.002636298231730283
39,T1_RADIOMICS_glrlm_ShortRunEmphasis,0.0026234284671975416
9,T1_RADIOMICS_first_order_Variance,0.0025767575931516795
21,T1_RADIOMICS_glcm_Contrast,0.002564275263230442
44,T2_RADIOMICS_glrlm_LongRunEmphasis,0.0025550235148212863
23,T1_RADIOMICS_glcm_Idm,0.00245287647030068
45,T2_RADIOMICS_glrlm_GrayLevelNonUniformity,0.002432313244271622
37,T2_RADIOMICS_glcm_ClusterShade,0.0022495124685200096
33,T2_RADIOMICS_glcm_JointEntropy,0.0020337089681499165
8,T1_RADIOMICS_first_order_Median,0.0018162809760724485
26,T1_RADIOMICS_glcm_Autocorrelation,0.001617660628086881
