LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.32524505248299845
Amygdala;DICE;STD;0.056653287348163814
Amygdala;HDRFDST;MEAN;15.649356146994652
Amygdala;HDRFDST;STD;2.0242658384018726
GreyMatter;DICE;MEAN;0.698170481401174
GreyMatter;DICE;STD;0.01104860926603774
GreyMatter;HDRFDST;MEAN;2.526608891307017
GreyMatter;HDRFDST;STD;0.4077346077638297
Hippocampus;DICE;MEAN;0.2370453000475302
Hippocampus;DICE;STD;0.032022961194930075
Hippocampus;HDRFDST;MEAN;24.414571424510545
Hippocampus;HDRFDST;STD;2.455341556173698
Thalamus;DICE;MEAN;0.5021365084688696
Thalamus;DICE;STD;0.03939112406821225
Thalamus;HDRFDST;MEAN;32.61513204748396
Thalamus;HDRFDST;STD;5.417855805130317
WhiteMatter;DICE;MEAN;0.8054996346295711
WhiteMatter;DICE;STD;0.02929986503814878
WhiteMatter;HDRFDST;MEAN;2.9725519994150993
WhiteMatter;HDRFDST;STD;0.5602986799674755
