LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09764885129919731
Amygdala;DICE;STD;0.013546662965032538
Amygdala;HDRFDST;MEAN;65.19070483722219
Amygdala;HDRFDST;STD;0.9602097823780626
GreyMatter;DICE;MEAN;0.6246552628178021
GreyMatter;DICE;STD;0.024472693855174033
GreyMatter;HDRFDST;MEAN;7.241848322385003
GreyMatter;HDRFDST;STD;0.9516474534035757
Hippocampus;DICE;MEAN;0.07979489224115373
Hippocampus;DICE;STD;0.008141539397788188
Hippocampus;HDRFDST;MEAN;61.53114043727
Hippocampus;HDRFDST;STD;1.0810904166436193
Thalamus;DICE;MEAN;0.5234535925739979
Thalamus;DICE;STD;0.02098740121819406
Thalamus;HDRFDST;MEAN;32.68803726403226
Thalamus;HDRFDST;STD;9.26780555607628
WhiteMatter;DICE;MEAN;0.7092171143199918
WhiteMatter;DICE;STD;0.03874377374737272
WhiteMatter;HDRFDST;MEAN;9.183183085530807
WhiteMatter;HDRFDST;STD;4.649639600831539
