LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0957831832288368
Amygdala;DICE;STD;0.013489177703171778
Amygdala;HDRFDST;MEAN;65.22495421173039
Amygdala;HDRFDST;STD;0.9514978074975418
GreyMatter;DICE;MEAN;0.6395017779395195
GreyMatter;DICE;STD;0.025295883624561363
GreyMatter;HDRFDST;MEAN;6.440134294922859
GreyMatter;HDRFDST;STD;1.1509432059656362
Hippocampus;DICE;MEAN;0.0829109862586438
Hippocampus;DICE;STD;0.009247946951403057
Hippocampus;HDRFDST;MEAN;62.27657960707874
Hippocampus;HDRFDST;STD;0.9887529737934068
Thalamus;DICE;MEAN;0.5268830271572768
Thalamus;DICE;STD;0.02051349230285715
Thalamus;HDRFDST;MEAN;22.87805839777125
Thalamus;HDRFDST;STD;7.141039416511313
WhiteMatter;DICE;MEAN;0.6985240185403387
WhiteMatter;DICE;STD;0.03866992531729062
WhiteMatter;HDRFDST;MEAN;9.536222502628316
WhiteMatter;HDRFDST;STD;4.5067128131671925
