LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.10651557195153645
Amygdala;DICE;STD;0.015774870467960653
Amygdala;HDRFDST;MEAN;64.25671179527767
Amygdala;HDRFDST;STD;1.1067923285893468
GreyMatter;DICE;MEAN;0.6342005307573082
GreyMatter;DICE;STD;0.024738787979918922
GreyMatter;HDRFDST;MEAN;9.100911466291421
GreyMatter;HDRFDST;STD;1.193067677344975
Hippocampus;DICE;MEAN;0.07795951094901518
Hippocampus;DICE;STD;0.008463300124254
Hippocampus;HDRFDST;MEAN;60.87927298025712
Hippocampus;HDRFDST;STD;1.1679560759439866
Thalamus;DICE;MEAN;0.5365897774029539
Thalamus;DICE;STD;0.020350520021347306
Thalamus;HDRFDST;MEAN;20.21514299834186
Thalamus;HDRFDST;STD;6.465136777871762
WhiteMatter;DICE;MEAN;0.6904342932747712
WhiteMatter;DICE;STD;0.03631799222281344
WhiteMatter;HDRFDST;MEAN;8.342969704069743
WhiteMatter;HDRFDST;STD;3.9931011152955302
