LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3673495602026883
Amygdala;DICE;STD;0.05406431271884242
Amygdala;HDRFDST;MEAN;12.177937363562997
Amygdala;HDRFDST;STD;1.182303501278878
GreyMatter;DICE;MEAN;0.6961154376786929
GreyMatter;DICE;STD;0.01747681871544625
GreyMatter;HDRFDST;MEAN;2.691274872382921
GreyMatter;HDRFDST;STD;0.840856445108372
Hippocampus;DICE;MEAN;0.32105299494295847
Hippocampus;DICE;STD;0.04474148907099814
Hippocampus;HDRFDST;MEAN;13.103888969999804
Hippocampus;HDRFDST;STD;1.01886891301947
Thalamus;DICE;MEAN;0.6380649369819672
Thalamus;DICE;STD;0.02708566854754778
Thalamus;HDRFDST;MEAN;9.476731262527526
Thalamus;HDRFDST;STD;2.1889642705703234
WhiteMatter;DICE;MEAN;0.8008698211342085
WhiteMatter;DICE;STD;0.04453429586552456
WhiteMatter;HDRFDST;MEAN;2.644825182243039
WhiteMatter;HDRFDST;STD;0.6363173385764949
