LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.37324117405911666
Amygdala;DICE;STD;0.0548263817704018
Amygdala;HDRFDST;MEAN;12.34394573360001
Amygdala;HDRFDST;STD;1.19457261225013
GreyMatter;DICE;MEAN;0.69340036415532
GreyMatter;DICE;STD;0.01727969161288515
GreyMatter;HDRFDST;MEAN;2.5019459472678287
GreyMatter;HDRFDST;STD;0.7682880169246986
Hippocampus;DICE;MEAN;0.3196068343193411
Hippocampus;DICE;STD;0.04539611195026423
Hippocampus;HDRFDST;MEAN;13.420191160889607
Hippocampus;HDRFDST;STD;1.0947461829942053
Thalamus;DICE;MEAN;0.6377638103601313
Thalamus;DICE;STD;0.028696023711664017
Thalamus;HDRFDST;MEAN;9.814507086996318
Thalamus;HDRFDST;STD;2.724968007023023
WhiteMatter;DICE;MEAN;0.7979506592954625
WhiteMatter;DICE;STD;0.04410025300810049
WhiteMatter;HDRFDST;MEAN;2.740931344492748
WhiteMatter;HDRFDST;STD;0.622330591227183
