LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3714285383755841
Amygdala;DICE;STD;0.05422541553163455
Amygdala;HDRFDST;MEAN;12.174422568201916
Amygdala;HDRFDST;STD;1.2583461887953815
GreyMatter;DICE;MEAN;0.6944813518706195
GreyMatter;DICE;STD;0.017421257358234885
GreyMatter;HDRFDST;MEAN;2.5148035500035784
GreyMatter;HDRFDST;STD;0.6897558299060615
Hippocampus;DICE;MEAN;0.31732457680088055
Hippocampus;DICE;STD;0.04541894481989999
Hippocampus;HDRFDST;MEAN;13.560054682527731
Hippocampus;HDRFDST;STD;0.9873788568010612
Thalamus;DICE;MEAN;0.6387143300401322
Thalamus;DICE;STD;0.027520167098053664
Thalamus;HDRFDST;MEAN;9.331001493115107
Thalamus;HDRFDST;STD;2.309201406435493
WhiteMatter;DICE;MEAN;0.7995231697623988
WhiteMatter;DICE;STD;0.042934507274250265
WhiteMatter;HDRFDST;MEAN;2.7469093268146105
WhiteMatter;HDRFDST;STD;0.6359946149606163
