LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.37009625966608173
Amygdala;DICE;STD;0.05505877171197694
Amygdala;HDRFDST;MEAN;12.13343508389009
Amygdala;HDRFDST;STD;1.2368318661099489
GreyMatter;DICE;MEAN;0.694207336178738
GreyMatter;DICE;STD;0.016630265710839805
GreyMatter;HDRFDST;MEAN;2.6640908249456268
GreyMatter;HDRFDST;STD;0.8958906609852172
Hippocampus;DICE;MEAN;0.3205438769812547
Hippocampus;DICE;STD;0.04569381884876657
Hippocampus;HDRFDST;MEAN;13.550080639110055
Hippocampus;HDRFDST;STD;1.0933044743413298
Thalamus;DICE;MEAN;0.6343606277210525
Thalamus;DICE;STD;0.03031018140314939
Thalamus;HDRFDST;MEAN;10.332254428227618
Thalamus;HDRFDST;STD;2.1666837402747037
WhiteMatter;DICE;MEAN;0.8016019210781771
WhiteMatter;DICE;STD;0.043348886366422375
WhiteMatter;HDRFDST;MEAN;2.6441576323864906
WhiteMatter;HDRFDST;STD;0.6390856085785903
