LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36797210896406546
Amygdala;DICE;STD;0.05363394574574578
Amygdala;HDRFDST;MEAN;12.092278802085097
Amygdala;HDRFDST;STD;1.2356348055325246
GreyMatter;DICE;MEAN;0.6953810885864079
GreyMatter;DICE;STD;0.016675082530851006
GreyMatter;HDRFDST;MEAN;2.563202686045391
GreyMatter;HDRFDST;STD;0.7280054877881688
Hippocampus;DICE;MEAN;0.3230573599952463
Hippocampus;DICE;STD;0.04411109873554817
Hippocampus;HDRFDST;MEAN;13.383742511336944
Hippocampus;HDRFDST;STD;1.2350855801248284
Thalamus;DICE;MEAN;0.6375462973320416
Thalamus;DICE;STD;0.026897358766705824
Thalamus;HDRFDST;MEAN;9.804449941377587
Thalamus;HDRFDST;STD;3.04512090844042
WhiteMatter;DICE;MEAN;0.7999838626944147
WhiteMatter;DICE;STD;0.043898542290260786
WhiteMatter;HDRFDST;MEAN;2.645610860720679
WhiteMatter;HDRFDST;STD;0.5922357416069944
