LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3698841407593322
Amygdala;DICE;STD;0.05411420188948052
Amygdala;HDRFDST;MEAN;12.043966263766379
Amygdala;HDRFDST;STD;1.201198000854699
GreyMatter;DICE;MEAN;0.6955850147118757
GreyMatter;DICE;STD;0.016507206459533665
GreyMatter;HDRFDST;MEAN;2.5557426199146818
GreyMatter;HDRFDST;STD;0.8174225717165113
Hippocampus;DICE;MEAN;0.3160202359429753
Hippocampus;DICE;STD;0.04578983543745586
Hippocampus;HDRFDST;MEAN;13.396087536579444
Hippocampus;HDRFDST;STD;1.069971360505002
Thalamus;DICE;MEAN;0.6300812376993394
Thalamus;DICE;STD;0.02580384858847589
Thalamus;HDRFDST;MEAN;10.313009342983088
Thalamus;HDRFDST;STD;2.8358135149447867
WhiteMatter;DICE;MEAN;0.801587049463538
WhiteMatter;DICE;STD;0.04320038418431535
WhiteMatter;HDRFDST;MEAN;2.671719778866497
WhiteMatter;HDRFDST;STD;0.5584920977180905
