LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.373641022449666
Amygdala;DICE;STD;0.05524231181810258
Amygdala;HDRFDST;MEAN;12.128172037419066
Amygdala;HDRFDST;STD;1.247975572984596
GreyMatter;DICE;MEAN;0.6955209434036261
GreyMatter;DICE;STD;0.01749844983806122
GreyMatter;HDRFDST;MEAN;2.601374409809831
GreyMatter;HDRFDST;STD;0.8263480985556589
Hippocampus;DICE;MEAN;0.31953347419716127
Hippocampus;DICE;STD;0.0447763413749866
Hippocampus;HDRFDST;MEAN;13.139923950481341
Hippocampus;HDRFDST;STD;0.9446685003570623
Thalamus;DICE;MEAN;0.6372116297359247
Thalamus;DICE;STD;0.030161233317120926
Thalamus;HDRFDST;MEAN;9.757758521021085
Thalamus;HDRFDST;STD;2.585758814243981
WhiteMatter;DICE;MEAN;0.8005604300801652
WhiteMatter;DICE;STD;0.04406326769802111
WhiteMatter;HDRFDST;MEAN;2.6899712106020894
WhiteMatter;HDRFDST;STD;0.6434709675905583
