LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36914101608706773
Amygdala;DICE;STD;0.05314289104436764
Amygdala;HDRFDST;MEAN;12.036496661993489
Amygdala;HDRFDST;STD;1.2540925427653293
GreyMatter;DICE;MEAN;0.6952758421128612
GreyMatter;DICE;STD;0.016818492527285366
GreyMatter;HDRFDST;MEAN;2.5362238332819773
GreyMatter;HDRFDST;STD;0.7533715335028744
Hippocampus;DICE;MEAN;0.3239028208629939
Hippocampus;DICE;STD;0.04645251973569069
Hippocampus;HDRFDST;MEAN;13.224263461115177
Hippocampus;HDRFDST;STD;1.0811363979692978
Thalamus;DICE;MEAN;0.6392463472639626
Thalamus;DICE;STD;0.02779103282041447
Thalamus;HDRFDST;MEAN;9.175402663570754
Thalamus;HDRFDST;STD;2.492385596439417
WhiteMatter;DICE;MEAN;0.8005627619951976
WhiteMatter;DICE;STD;0.04398775095322638
WhiteMatter;HDRFDST;MEAN;2.733315170069646
WhiteMatter;HDRFDST;STD;0.6549718933413395
