LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3630102502743424
Amygdala;DICE;STD;0.05709714868863816
Amygdala;HDRFDST;MEAN;13.594591788612195
Amygdala;HDRFDST;STD;3.5759018584124944
GreyMatter;DICE;MEAN;0.6934608343876546
GreyMatter;DICE;STD;0.016561495412023296
GreyMatter;HDRFDST;MEAN;2.534336189543796
GreyMatter;HDRFDST;STD;0.8228852157917494
Hippocampus;DICE;MEAN;0.290196331474131
Hippocampus;DICE;STD;0.038439373638503
Hippocampus;HDRFDST;MEAN;18.59488314776965
Hippocampus;HDRFDST;STD;3.151241139740405
Thalamus;DICE;MEAN;0.5868008295916044
Thalamus;DICE;STD;0.02955241869428579
Thalamus;HDRFDST;MEAN;18.95995215876449
Thalamus;HDRFDST;STD;5.6938751424106435
WhiteMatter;DICE;MEAN;0.8000334672981033
WhiteMatter;DICE;STD;0.038812596306603636
WhiteMatter;HDRFDST;MEAN;3.095767718544203
WhiteMatter;HDRFDST;STD;0.718486070024757
