LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3689194435003321
Amygdala;DICE;STD;0.054918855385019505
Amygdala;HDRFDST;MEAN;12.159238914646503
Amygdala;HDRFDST;STD;1.225931897189308
GreyMatter;DICE;MEAN;0.695769906150289
GreyMatter;DICE;STD;0.017688810651870238
GreyMatter;HDRFDST;MEAN;2.5502420991990107
GreyMatter;HDRFDST;STD;0.8344250927872564
Hippocampus;DICE;MEAN;0.32314895599958937
Hippocampus;DICE;STD;0.04619581112619487
Hippocampus;HDRFDST;MEAN;13.12612771059887
Hippocampus;HDRFDST;STD;1.0746028685279005
Thalamus;DICE;MEAN;0.6371373553491367
Thalamus;DICE;STD;0.029296005962000504
Thalamus;HDRFDST;MEAN;10.336129076034272
Thalamus;HDRFDST;STD;3.4517293815649737
WhiteMatter;DICE;MEAN;0.7978413404817168
WhiteMatter;DICE;STD;0.043647852968122854
WhiteMatter;HDRFDST;MEAN;2.7473823874987895
WhiteMatter;HDRFDST;STD;0.5932031834552556
