LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3627921348027381
Amygdala;DICE;STD;0.05349707322324008
Amygdala;HDRFDST;MEAN;12.217486915345464
Amygdala;HDRFDST;STD;1.2381492128828147
GreyMatter;DICE;MEAN;0.709356474219866
GreyMatter;DICE;STD;0.013318122645963864
GreyMatter;HDRFDST;MEAN;2.3691218269969787
GreyMatter;HDRFDST;STD;0.43273752881683103
Hippocampus;DICE;MEAN;0.2640069094675105
Hippocampus;DICE;STD;0.03446338711816845
Hippocampus;HDRFDST;MEAN;18.548739689121756
Hippocampus;HDRFDST;STD;2.245942106377479
Thalamus;DICE;MEAN;0.5669869601240906
Thalamus;DICE;STD;0.03468417910286325
Thalamus;HDRFDST;MEAN;15.706170283185845
Thalamus;HDRFDST;STD;2.5032409064191157
WhiteMatter;DICE;MEAN;0.806016457184642
WhiteMatter;DICE;STD;0.028827493026916822
WhiteMatter;HDRFDST;MEAN;3.472963435356781
WhiteMatter;HDRFDST;STD;0.7338426102883525
