LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35426592374069765
Amygdala;DICE;STD;0.05477336053507938
Amygdala;HDRFDST;MEAN;12.08873103205568
Amygdala;HDRFDST;STD;1.2298707389860124
GreyMatter;DICE;MEAN;0.7049528992563063
GreyMatter;DICE;STD;0.01348732213665502
GreyMatter;HDRFDST;MEAN;2.4476424698851025
GreyMatter;HDRFDST;STD;0.5559193643099297
Hippocampus;DICE;MEAN;0.27234253039037504
Hippocampus;DICE;STD;0.03516854247176961
Hippocampus;HDRFDST;MEAN;17.242823591610787
Hippocampus;HDRFDST;STD;1.8262077068587916
Thalamus;DICE;MEAN;0.5798312571882464
Thalamus;DICE;STD;0.035530176276608566
Thalamus;HDRFDST;MEAN;17.525300330113115
Thalamus;HDRFDST;STD;4.729043068035782
WhiteMatter;DICE;MEAN;0.80376943985867
WhiteMatter;DICE;STD;0.031066254894107838
WhiteMatter;HDRFDST;MEAN;3.2194760442714005
WhiteMatter;HDRFDST;STD;0.6595255873448519
