LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35752561188753973
Amygdala;DICE;STD;0.05379570852308922
Amygdala;HDRFDST;MEAN;12.215080264332798
Amygdala;HDRFDST;STD;1.2213984345443565
GreyMatter;DICE;MEAN;0.7048376002958366
GreyMatter;DICE;STD;0.013827285194752122
GreyMatter;HDRFDST;MEAN;2.3585178800329922
GreyMatter;HDRFDST;STD;0.4328896043619899
Hippocampus;DICE;MEAN;0.27102446913825895
Hippocampus;DICE;STD;0.034917075029633086
Hippocampus;HDRFDST;MEAN;16.813583356490707
Hippocampus;HDRFDST;STD;2.0008534964706173
Thalamus;DICE;MEAN;0.5884262001438851
Thalamus;DICE;STD;0.039206061019904384
Thalamus;HDRFDST;MEAN;14.020594720574945
Thalamus;HDRFDST;STD;2.1149287650854705
WhiteMatter;DICE;MEAN;0.8016463833442872
WhiteMatter;DICE;STD;0.03334817126086672
WhiteMatter;HDRFDST;MEAN;3.3072861620689493
WhiteMatter;HDRFDST;STD;0.9010317653597112
