SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.35748856328316647;13.0
117122;GreyMatter;0.6969444808581216;2.23606797749979
117122;Hippocampus;0.2967379504058176;16.911534525287763
117122;Thalamus;0.5207597037401273;26.92582403567252
117122;WhiteMatter;0.8220258887896238;3.1622776601683795
117122-PP;Amygdala;0.28867084874805643;13.341664064126334
117122-PP;GreyMatter;0.696692099581809;2.23606797749979
117122-PP;Hippocampus;0.2283224747073468;17.11724276862369
117122-PP;Thalamus;0.5377903682719547;20.615528128088304
117122-PP;WhiteMatter;0.8228143189103163;3.0
118528;Amygdala;0.3721502496924079;13.92838827718412
118528;GreyMatter;0.5859296730497341;2.23606797749979
118528;Hippocampus;0.2986526946107784;25.632011235952593
118528;Thalamus;0.40635041909170583;40.70626487409524
118528;WhiteMatter;0.6487695811925587;5.916079783099616
118528-PP;Amygdala;0.30033576473312495;13.96424004376894
118528-PP;GreyMatter;0.5845887330284597;2.23606797749979
118528-PP;Hippocampus;0.23393846375212834;27.0
118528-PP;Thalamus;0.4321484141232795;39.370039370059054
118528-PP;WhiteMatter;0.6499126567647107;5.744562646538029
118730;Amygdala;0.3716700670358496;11.180339887498949
118730;GreyMatter;0.6974282853867362;2.8284271247461903
118730;Hippocampus;0.2503739603901155;22.045407685048602
118730;Thalamus;0.4850869985151869;26.551836094703507
118730;WhiteMatter;0.8231845142884114;2.8284271247461903
118730-PP;Amygdala;0.3039159503342884;11.357816691600547
118730-PP;GreyMatter;0.697368003704714;2.8284271247461903
118730-PP;Hippocampus;0.198347301453154;23.895606290697042
118730-PP;Thalamus;0.5069684553638066;22.737634001804146
118730-PP;WhiteMatter;0.824228632990692;2.23606797749979
118932;Amygdala;0.37755102040816324;13.892443989449804
118932;GreyMatter;0.7117222354118389;2.23606797749979
118932;Hippocampus;0.268977697200819;20.149441679609886
118932;Thalamus;0.4513182982961101;44.46346815083142
118932;WhiteMatter;0.7578002248291791;4.123105625617661
118932-PP;Amygdala;0.3051170674859625;13.638181696985855
118932-PP;GreyMatter;0.7105923272579945;2.23606797749979
118932-PP;Hippocampus;0.20973955738123307;21.37755832643195
118932-PP;Thalamus;0.47775053471751266;36.89173349139343
118932-PP;WhiteMatter;0.7583665384150978;3.4641016151377544
120111;Amygdala;0.4351308825632957;9.643650760992955
120111;GreyMatter;0.6975242317380352;2.0
120111;Hippocampus;0.2794372961658905;20.591260281974
120111;Thalamus;0.42601456563624684;37.57658845611187
120111;WhiteMatter;0.7750478534317746;3.0
120111-PP;Amygdala;0.35905253283302063;10.0
120111-PP;GreyMatter;0.6963711522188888;2.23606797749979
120111-PP;Hippocampus;0.21707993126889163;20.09975124224178
120111-PP;Thalamus;0.4519888654751684;33.03028912982749
120111-PP;WhiteMatter;0.7744835586148139;3.0
122317;Amygdala;0.4646205019655277;12.569805089976535
122317;GreyMatter;0.7062506755491549;2.0
122317;Hippocampus;0.28118369202788723;18.0
122317;Thalamus;0.5405423501841312;19.026297590440446
122317;WhiteMatter;0.7710026559895355;4.123105625617661
122317-PP;Amygdala;0.37544245087269623;12.24744871391589
122317-PP;GreyMatter;0.705218449661799;2.23606797749979
122317-PP;Hippocampus;0.21769000186452103;18.138357147217054
122317-PP;Thalamus;0.5601157177462923;15.748015748023622
122317-PP;WhiteMatter;0.7713858129202497;4.0
122620;Amygdala;0.3832161329691405;13.038404810405298
122620;GreyMatter;0.6961086557590613;3.7416573867739413
122620;Hippocampus;0.22755303553471692;27.440845468024488
122620;Thalamus;0.5046813566034;31.0
122620;WhiteMatter;0.8385909957773611;3.0
122620-PP;Amygdala;0.3116294442608244;13.0
122620-PP;GreyMatter;0.6958649221501957;3.1622776601683795
122620-PP;Hippocampus;0.1803176907720669;28.722813232690143
122620-PP;Thalamus;0.5295319353481944;28.071337695236398
122620-PP;WhiteMatter;0.8390712483114198;2.23606797749979
123117;Amygdala;0.2895368782161235;14.317821063276353
123117;GreyMatter;0.598188515514843;7.14142842854285
123117;Hippocampus;0.2136000389825553;18.24828759089466
123117;Thalamus;0.39394421586233547;41.09744517606904
123117;WhiteMatter;0.6875588196490611;12.409673645990857
123117-PP;Amygdala;0.24094809971393544;14.696938456699069
123117-PP;GreyMatter;0.5991177100945395;7.0
123117-PP;Hippocampus;0.1839724618516886;18.466185312619388
123117-PP;Thalamus;0.4175;38.961519477556315
123117-PP;WhiteMatter;0.6798046782944067;18.681541692269406
123925;Amygdala;0.36287319748155167;16.792855623746664
123925;GreyMatter;0.6873712431688227;2.0
123925;Hippocampus;0.2350266747260256;26.267851073127396
123925;Thalamus;0.3823959687906372;51.35172830587107
123925;WhiteMatter;0.7699725502298309;4.358898943540674
123925-PP;Amygdala;0.2844592060856056;20.273134932713294
123925-PP;GreyMatter;0.684422547851728;2.23606797749979
123925-PP;Hippocampus;0.180150938887672;27.184554438136374
123925-PP;Thalamus;0.4137801329778407;49.20365840057018
123925-PP;WhiteMatter;0.7695656600823748;4.123105625617661
124422;Amygdala;0.49025683398746817;11.575836902790225
124422;GreyMatter;0.6581075959588418;2.23606797749979
124422;Hippocampus;0.3063236945536216;17.029386365926403
124422;Thalamus;0.5378740039091866;32.61901286060018
124422;WhiteMatter;0.702087954238447;4.898979485566356
124422-PP;Amygdala;0.3983668064444935;10.488088481701515
124422-PP;GreyMatter;0.6575173404349842;2.0
124422-PP;Hippocampus;0.23911839777438654;17.46424919657298
124422-PP;Thalamus;0.5619482303889828;27.964262908219126
124422-PP;WhiteMatter;0.7031785409917736;4.58257569495584
