LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36053612878353036
Amygdala;DICE;STD;0.052180110963972494
Amygdala;HDRFDST;MEAN;12.174445141751956
Amygdala;HDRFDST;STD;1.2380975286592881
GreyMatter;DICE;MEAN;0.7020473525490234
GreyMatter;DICE;STD;0.017148757024895545
GreyMatter;HDRFDST;MEAN;2.3268220766351653
GreyMatter;HDRFDST;STD;0.5795679629544898
Hippocampus;DICE;MEAN;0.29577412190834285
Hippocampus;DICE;STD;0.039547940819484595
Hippocampus;HDRFDST;MEAN;14.197951035857036
Hippocampus;HDRFDST;STD;0.817426683810913
Thalamus;DICE;MEAN;0.6003565319496592
Thalamus;DICE;STD;0.02956459069269542
Thalamus;HDRFDST;MEAN;12.179069579067356
Thalamus;HDRFDST;STD;2.0905176842677267
WhiteMatter;DICE;MEAN;0.7995775216389464
WhiteMatter;DICE;STD;0.04285199768736182
WhiteMatter;HDRFDST;MEAN;2.8483544720583844
WhiteMatter;HDRFDST;STD;0.6977655777587501
