LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36767636647553303
Amygdala;DICE;STD;0.05360203772326114
Amygdala;HDRFDST;MEAN;12.18178342566689
Amygdala;HDRFDST;STD;1.1849694384866825
GreyMatter;DICE;MEAN;0.6922589557279697
GreyMatter;DICE;STD;0.017500123981262185
GreyMatter;HDRFDST;MEAN;2.828689114485448
GreyMatter;HDRFDST;STD;0.8053060868958668
Hippocampus;DICE;MEAN;0.32207585436708264
Hippocampus;DICE;STD;0.04718159764169312
Hippocampus;HDRFDST;MEAN;13.369824946323027
Hippocampus;HDRFDST;STD;1.1609396645297667
Thalamus;DICE;MEAN;0.630836690330089
Thalamus;DICE;STD;0.027499697863722146
Thalamus;HDRFDST;MEAN;10.247048936351124
Thalamus;HDRFDST;STD;2.774524841486425
WhiteMatter;DICE;MEAN;0.7992351129430436
WhiteMatter;DICE;STD;0.042928635726791814
WhiteMatter;HDRFDST;MEAN;2.6973100557045835
WhiteMatter;HDRFDST;STD;0.5696652204540279
