LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3697539115437617
Amygdala;DICE;STD;0.053235297388814516
Amygdala;HDRFDST;MEAN;12.182880602464483
Amygdala;HDRFDST;STD;1.1947469297280497
GreyMatter;DICE;MEAN;0.6962458188954003
GreyMatter;DICE;STD;0.01731639874539176
GreyMatter;HDRFDST;MEAN;2.5517237188492268
GreyMatter;HDRFDST;STD;0.8298831620549196
Hippocampus;DICE;MEAN;0.32267695740977836
Hippocampus;DICE;STD;0.044425617217106216
Hippocampus;HDRFDST;MEAN;13.005345676643952
Hippocampus;HDRFDST;STD;0.9005464069099699
Thalamus;DICE;MEAN;0.6372388673504292
Thalamus;DICE;STD;0.02689080246394986
Thalamus;HDRFDST;MEAN;9.637122865364773
Thalamus;HDRFDST;STD;2.5740751500030963
WhiteMatter;DICE;MEAN;0.8000147932705628
WhiteMatter;DICE;STD;0.043517581593048915
WhiteMatter;HDRFDST;MEAN;2.6548472994751666
WhiteMatter;HDRFDST;STD;0.5931153483677637
