LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36505950168411266
Amygdala;DICE;STD;0.05344598564703528
Amygdala;HDRFDST;MEAN;12.272192435787609
Amygdala;HDRFDST;STD;1.2622570336494132
GreyMatter;DICE;MEAN;0.6952472944405461
GreyMatter;DICE;STD;0.017691974410075074
GreyMatter;HDRFDST;MEAN;2.563373593031991
GreyMatter;HDRFDST;STD;0.8826753777840753
Hippocampus;DICE;MEAN;0.320112508003392
Hippocampus;DICE;STD;0.04459695361945734
Hippocampus;HDRFDST;MEAN;13.38660989394592
Hippocampus;HDRFDST;STD;1.2036093831925911
Thalamus;DICE;MEAN;0.6360908746782495
Thalamus;DICE;STD;0.02812921600860067
Thalamus;HDRFDST;MEAN;9.021861541858422
Thalamus;HDRFDST;STD;1.950900899465676
WhiteMatter;DICE;MEAN;0.7996593023564562
WhiteMatter;DICE;STD;0.045222806376829246
WhiteMatter;HDRFDST;MEAN;2.606916181906173
WhiteMatter;HDRFDST;STD;0.6356005195999621
