LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3598974119662306
Amygdala;DICE;STD;0.053291428239460384
Amygdala;HDRFDST;MEAN;12.030975841619327
Amygdala;HDRFDST;STD;1.185588587315243
GreyMatter;DICE;MEAN;0.7077260844508395
GreyMatter;DICE;STD;0.015113586191594251
GreyMatter;HDRFDST;MEAN;2.3875959407927176
GreyMatter;HDRFDST;STD;0.6703623076442577
Hippocampus;DICE;MEAN;0.2794661606815657
Hippocampus;DICE;STD;0.03682850247016721
Hippocampus;HDRFDST;MEAN;15.87051973638288
Hippocampus;HDRFDST;STD;1.013214339161012
Thalamus;DICE;MEAN;0.5884137806372607
Thalamus;DICE;STD;0.03426561535496201
Thalamus;HDRFDST;MEAN;13.618547121423529
Thalamus;HDRFDST;STD;2.5855704015878116
WhiteMatter;DICE;MEAN;0.8066880165439223
WhiteMatter;DICE;STD;0.03106667384018394
WhiteMatter;HDRFDST;MEAN;3.6320806276047164
WhiteMatter;HDRFDST;STD;0.6387411953041138
