LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36069262214633213
Amygdala;DICE;STD;0.05369609722867272
Amygdala;HDRFDST;MEAN;12.047555166485205
Amygdala;HDRFDST;STD;1.1429849126281924
GreyMatter;DICE;MEAN;0.703797712859106
GreyMatter;DICE;STD;0.013186866615476732
GreyMatter;HDRFDST;MEAN;2.3943928374122323
GreyMatter;HDRFDST;STD;0.5166071429519725
Hippocampus;DICE;MEAN;0.26809749918409004
Hippocampus;DICE;STD;0.0342935505346847
Hippocampus;HDRFDST;MEAN;16.880139061205718
Hippocampus;HDRFDST;STD;1.486911320273333
Thalamus;DICE;MEAN;0.5820641729259886
Thalamus;DICE;STD;0.0409051868464697
Thalamus;HDRFDST;MEAN;16.164821733127106
Thalamus;HDRFDST;STD;2.6549083479889917
WhiteMatter;DICE;MEAN;0.8018842184889886
WhiteMatter;DICE;STD;0.03262438682610219
WhiteMatter;HDRFDST;MEAN;3.496117719938539
WhiteMatter;HDRFDST;STD;0.7919349015744634
