LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.31982525774405807
Amygdala;DICE;STD;0.055657314262716195
Amygdala;HDRFDST;MEAN;20.559470495192805
Amygdala;HDRFDST;STD;6.675190855495921
GreyMatter;DICE;MEAN;0.6948331546307306
GreyMatter;DICE;STD;0.015358173464065296
GreyMatter;HDRFDST;MEAN;2.4711232007611983
GreyMatter;HDRFDST;STD;0.49350798034047055
Hippocampus;DICE;MEAN;0.2327327671020918
Hippocampus;DICE;STD;0.036662453566293565
Hippocampus;HDRFDST;MEAN;30.005499866039635
Hippocampus;HDRFDST;STD;2.9782507935188183
Thalamus;DICE;MEAN;0.4819220012930551
Thalamus;DICE;STD;0.032489303145034336
Thalamus;HDRFDST;MEAN;38.98478989003446
Thalamus;HDRFDST;STD;4.305363774394272
WhiteMatter;DICE;MEAN;0.8035308388277652
WhiteMatter;DICE;STD;0.03098771995586411
WhiteMatter;HDRFDST;MEAN;3.291437251013595
WhiteMatter;HDRFDST;STD;0.7851374546154768
