LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3610995460608501
Amygdala;DICE;STD;0.05384936453715092
Amygdala;HDRFDST;MEAN;11.997603587653462
Amygdala;HDRFDST;STD;1.2480016640713112
GreyMatter;DICE;MEAN;0.7057933333977952
GreyMatter;DICE;STD;0.014683418844258106
GreyMatter;HDRFDST;MEAN;2.3321246777829705
GreyMatter;HDRFDST;STD;0.4014903327300333
Hippocampus;DICE;MEAN;0.2811484792672172
Hippocampus;DICE;STD;0.035244620797721615
Hippocampus;HDRFDST;MEAN;15.495456185039876
Hippocampus;HDRFDST;STD;1.2209986148679464
Thalamus;DICE;MEAN;0.5912064208188385
Thalamus;DICE;STD;0.03175097385995899
Thalamus;HDRFDST;MEAN;13.154182512814597
Thalamus;HDRFDST;STD;2.3595513174251277
WhiteMatter;DICE;MEAN;0.8021011651980221
WhiteMatter;DICE;STD;0.03670274264581063
WhiteMatter;HDRFDST;MEAN;3.0931005666400693
WhiteMatter;HDRFDST;STD;0.5317225636089583
