LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3536216249557351
Amygdala;DICE;STD;0.0622855562540921
Amygdala;HDRFDST;MEAN;13.147352974341619
Amygdala;HDRFDST;STD;2.3445915994199558
GreyMatter;DICE;MEAN;0.6731664439190151
GreyMatter;DICE;STD;0.04291676994934296
GreyMatter;HDRFDST;MEAN;2.8531448749987716
GreyMatter;HDRFDST;STD;1.4695456176207118
Hippocampus;DICE;MEAN;0.23732719771556585
Hippocampus;DICE;STD;0.03880798547411955
Hippocampus;HDRFDST;MEAN;21.58911719305381
Hippocampus;HDRFDST;STD;4.00125215708638
Thalamus;DICE;MEAN;0.47692452675210506
Thalamus;DICE;STD;0.05755029770410254
Thalamus;HDRFDST;MEAN;33.195624194758665
Thalamus;HDRFDST;STD;9.6203188263359
WhiteMatter;DICE;MEAN;0.7594426342355819
WhiteMatter;DICE;STD;0.05998805611286257
WhiteMatter;HDRFDST;MEAN;4.944428556193282
WhiteMatter;HDRFDST;STD;3.801660986029713
