LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.10604144867211229
Amygdala;DICE;STD;0.015556208928196976
Amygdala;HDRFDST;MEAN;64.2556009252886
Amygdala;HDRFDST;STD;1.1259439284667219
GreyMatter;DICE;MEAN;0.6345361683522024
GreyMatter;DICE;STD;0.02332049002472433
GreyMatter;HDRFDST;MEAN;7.79480849977045
GreyMatter;HDRFDST;STD;0.6640485312884508
Hippocampus;DICE;MEAN;0.07278795578927563
Hippocampus;DICE;STD;0.007441218780079966
Hippocampus;HDRFDST;MEAN;62.328236028644184
Hippocampus;HDRFDST;STD;1.0202909181306048
Thalamus;DICE;MEAN;0.5318093044602759
Thalamus;DICE;STD;0.022117744017142747
Thalamus;HDRFDST;MEAN;32.801771291193845
Thalamus;HDRFDST;STD;9.332405914886625
WhiteMatter;DICE;MEAN;0.7182834077280355
WhiteMatter;DICE;STD;0.03837923574695942
WhiteMatter;HDRFDST;MEAN;8.085561767883506
WhiteMatter;HDRFDST;STD;0.9347143401812911
