LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09738776443699401
Amygdala;DICE;STD;0.013742676654995765
Amygdala;HDRFDST;MEAN;65.18727516023785
Amygdala;HDRFDST;STD;0.9587268554911094
GreyMatter;DICE;MEAN;0.6466893221467863
GreyMatter;DICE;STD;0.025907652152715437
GreyMatter;HDRFDST;MEAN;6.870165782766089
GreyMatter;HDRFDST;STD;0.7421739131160593
Hippocampus;DICE;MEAN;0.08481877103547429
Hippocampus;DICE;STD;0.009250260493084287
Hippocampus;HDRFDST;MEAN;62.02523676152005
Hippocampus;HDRFDST;STD;1.0344103041740444
Thalamus;DICE;MEAN;0.534972890041572
Thalamus;DICE;STD;0.02224765007766496
Thalamus;HDRFDST;MEAN;32.6068598988807
Thalamus;HDRFDST;STD;9.544248924601948
WhiteMatter;DICE;MEAN;0.6999878995881779
WhiteMatter;DICE;STD;0.040668425291706875
WhiteMatter;HDRFDST;MEAN;8.15079410631902
WhiteMatter;HDRFDST;STD;4.020516812102035
