SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0791464073473798;64.1248781675256
117122;GreyMatter;0.6493873855455117;8.306623862918075
117122;Hippocampus;0.08610049071258692;61.163714733492114
117122;Thalamus;0.5004881419066072;20.97617696340303
117122;WhiteMatter;0.7459683703330383;7.211102550927978
117122-PP;Amygdala;0.06595575120488786;64.40496875241847
117122-PP;GreyMatter;0.6484391243432832;9.219544457292887
117122-PP;Hippocampus;0.07211939897703576;62.10475022089695
117122-PP;Thalamus;0.50141387971754;19.209372712298546
117122-PP;WhiteMatter;0.7464681700068255;8.0
118528;Amygdala;0.08007181894067063;63.812224534175265
118528;GreyMatter;0.6018461016243072;8.0
118528;Hippocampus;0.09383173921530354;59.481089431852205
118528;Thalamus;0.5201828756619115;33.04542328371661
118528;WhiteMatter;0.6601272865659694;7.0
118528-PP;Amygdala;0.06699045829307995;64.03905058634146
118528-PP;GreyMatter;0.6005931761463106;9.0
118528-PP;Hippocampus;0.0802513442899975;60.35726965329032
118528-PP;Thalamus;0.5425830213559271;31.796226191169293
118528-PP;WhiteMatter;0.6628286242605856;7.280109889280518
118730;Amygdala;0.09887040714995035;65.13063795173512
118730;GreyMatter;0.6504915827963803;8.06225774829855
118730;Hippocampus;0.08275707777416205;62.369864518050704
118730;Thalamus;0.5169951003732317;14.177446878757825
118730;WhiteMatter;0.7172780635450278;7.0
118730-PP;Amygdala;0.08285088405570333;65.3834841531101
118730-PP;GreyMatter;0.6493005846248353;9.0
118730-PP;Hippocampus;0.07054323781218866;63.26926584053272
118730-PP;Thalamus;0.5354478517679424;13.601470508735444
118730-PP;WhiteMatter;0.7167926053636686;8.0
118932;Amygdala;0.09232657299746684;67.00746227100382
118932;GreyMatter;0.6651560336332895;8.0
118932;Hippocampus;0.08572319047783951;62.01612693485461
118932;Thalamus;0.5455513960611397;21.0
118932;WhiteMatter;0.6905770811134845;7.0
118932-PP;Amygdala;0.0773997489595032;67.14908785679818
118932-PP;GreyMatter;0.6639544629392434;9.0
118932-PP;Hippocampus;0.07154002923194104;63.06346010171025
118932-PP;Thalamus;0.5608936461509739;18.411952639521967
118932-PP;WhiteMatter;0.6897869989115275;8.0
120111;Amygdala;0.09528076002162664;65.21502894272147
120111;GreyMatter;0.6488593624761083;8.0
120111;Hippocampus;0.08930101507099189;61.59545437773797
120111;Thalamus;0.511043678697517;32.55764119219941
120111;WhiteMatter;0.7405037706459975;7.0
120111-PP;Amygdala;0.079888624328298;65.49045732013177
120111-PP;GreyMatter;0.6476809998604414;9.0
120111-PP;Hippocampus;0.07501067845219105;62.353829072479584
120111-PP;Thalamus;0.5291909543137913;31.144823004794873
120111-PP;WhiteMatter;0.7423132522033199;7.280109889280518
122317;Amygdala;0.09235257471928039;64.6297145282261
122317;GreyMatter;0.638191090762823;9.0
122317;Hippocampus;0.07427747718482575;60.481402100149765
122317;Thalamus;0.4820546790316753;31.54362059117501
122317;WhiteMatter;0.6741699536395893;7.0
122317-PP;Amygdala;0.07752037312285377;65.0384501660364
122317-PP;GreyMatter;0.6367204442047735;9.9498743710662
122317-PP;Hippocampus;0.0640333452180852;61.43289021363068
122317-PP;Thalamus;0.49696969696969695;30.265491900843113
122317-PP;WhiteMatter;0.6740451499134456;7.810249675906654
122620;Amygdala;0.10481185860889396;63.48228099241551
122620;GreyMatter;0.6599702979613601;9.0
122620;Hippocampus;0.08658346714562519;59.81638571495272
122620;Thalamus;0.5327355600388552;19.1049731745428
122620;WhiteMatter;0.7293111505199952;7.0
122620-PP;Amygdala;0.0890317129066537;63.835726674018524
122620-PP;GreyMatter;0.6590015070452305;10.0
122620-PP;Hippocampus;0.0734039824612115;60.844062980705026
122620-PP;Thalamus;0.5530061176026546;16.881943016134134
122620-PP;WhiteMatter;0.7299834072656004;7.280109889280518
123117;Amygdala;0.09518555178736593;65.31462317123173
123117;GreyMatter;0.5886673290312705;10.770329614269007
123117;Hippocampus;0.08504953264717514;61.48983655857283
123117;Thalamus;0.5353148365568807;12.206555615733702
123117;WhiteMatter;0.6317827580297871;17.0
123117-PP;Amygdala;0.07957725432662266;65.6505902486794
123117-PP;GreyMatter;0.5886491225437763;11.224972160321824
123117-PP;Hippocampus;0.07153569710518125;62.57795138864806
123117-PP;Thalamus;0.5495097720927212;12.12435565298214
123117-PP;WhiteMatter;0.6308785827519863;20.024984394500787
123925;Amygdala;0.09473498289953275;64.81512169239521
123925;GreyMatter;0.6333257887548828;8.0
123925;Hippocampus;0.0917676873906642;60.41522986797286
123925;Thalamus;0.5394580495580351;27.748873851023216
123925;WhiteMatter;0.7388412172984516;7.0
123925-PP;Amygdala;0.07906575792677999;65.06150935845248
123925-PP;GreyMatter;0.6316840990980875;9.0
123925-PP;Hippocampus;0.07765601035070732;61.237243569579455
123925-PP;Thalamus;0.5578342904019689;26.551836094703507
123925-PP;WhiteMatter;0.7401225290676344;7.211102550927978
124422;Amygdala;0.11061859281938796;66.06814663663572
124422;GreyMatter;0.59470805544255;8.0
124422;Hippocampus;0.08843583060208006;63.03967004989794
124422;Thalamus;0.5201738792704241;31.12876483254676
124422;WhiteMatter;0.6423509387763228;7.615773105863909
124422-PP;Amygdala;0.09294929339044346;66.21933252457322
124422-PP;GreyMatter;0.5933431511091303;9.0
124422-PP;Hippocampus;0.07537080271921993;63.914004725099176
124422-PP;Thalamus;0.5336170212765957;28.460498941515414
124422-PP;WhiteMatter;0.6436632814157185;7.54983443527075
