LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.08673146929031907
Amygdala;DICE;STD;0.011461453476004971
Amygdala;HDRFDST;MEAN;65.09363882643129
Amygdala;HDRFDST;STD;0.9839635837359635
GreyMatter;DICE;MEAN;0.6324984849971796
GreyMatter;DICE;STD;0.026430079553922372
GreyMatter;HDRFDST;MEAN;8.976680110708326
GreyMatter;HDRFDST;STD;0.905104518833894
Hippocampus;DICE;MEAN;0.07976460174195067
Hippocampus;DICE;STD;0.008095030367170563
Hippocampus;HDRFDST;MEAN;61.651175102705295
Hippocampus;HDRFDST;STD;1.1758437207259005
Thalamus;DICE;MEAN;0.5282232224403044
Thalamus;DICE;STD;0.021147089825627685
Thalamus;HDRFDST;MEAN;23.596872352289843
Thalamus;HDRFDST;STD;7.357826798025307
WhiteMatter;DICE;MEAN;0.6973896595813988
WhiteMatter;DICE;STD;0.04090127703261628
WhiteMatter;HDRFDST;MEAN;8.46316881906198
WhiteMatter;HDRFDST;STD;3.4021718857307963
