LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09874590159281077
Amygdala;DICE;STD;0.013633092653992549
Amygdala;HDRFDST;MEAN;65.1072907072675
Amygdala;HDRFDST;STD;0.9698952311245761
GreyMatter;DICE;MEAN;0.6322092827412666
GreyMatter;DICE;STD;0.023362272227436844
GreyMatter;HDRFDST;MEAN;8.049349266249905
GreyMatter;HDRFDST;STD;0.8706183951204457
Hippocampus;DICE;MEAN;0.09304550915184753
Hippocampus;DICE;STD;0.010260631977150585
Hippocampus;HDRFDST;MEAN;61.38674925610305
Hippocampus;HDRFDST;STD;1.1031843763991487
Thalamus;DICE;MEAN;0.5215724653937406
Thalamus;DICE;STD;0.020837299199794133
Thalamus;HDRFDST;MEAN;35.70425973653492
Thalamus;HDRFDST;STD;8.798058687349819
WhiteMatter;DICE;MEAN;0.7065009154995299
WhiteMatter;DICE;STD;0.03777615521094762
WhiteMatter;HDRFDST;MEAN;7.953429525912807
WhiteMatter;HDRFDST;STD;3.7673543470635167
