LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.08553953097241587
Amygdala;DICE;STD;0.011949861381990643
Amygdala;HDRFDST;MEAN;65.09675761034758
Amygdala;HDRFDST;STD;0.9808917471633901
GreyMatter;DICE;MEAN;0.6286034527066147
GreyMatter;DICE;STD;0.0255054068381891
GreyMatter;HDRFDST;MEAN;5.950767157346042
GreyMatter;HDRFDST;STD;0.8879021562377787
Hippocampus;DICE;MEAN;0.08532704857198571
Hippocampus;DICE;STD;0.009171929017076032
Hippocampus;HDRFDST;MEAN;62.059955813959654
Hippocampus;HDRFDST;STD;1.030477738418018
Thalamus;DICE;MEAN;0.528146523683259
Thalamus;DICE;STD;0.0211111442800476
Thalamus;HDRFDST;MEAN;23.399333656109334
Thalamus;HDRFDST;STD;7.100787593645426
WhiteMatter;DICE;MEAN;0.7226719479485016
WhiteMatter;DICE;STD;0.04352213132751089
WhiteMatter;HDRFDST;MEAN;7.976072492615431
WhiteMatter;HDRFDST;STD;4.856157698483799
