SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.08212233862791483;64.13267497929586
117122;GreyMatter;0.6491551313216564;9.1104335791443
117122;Hippocampus;0.08091945783302992;60.21627686929839
117122;Thalamus;0.5068805942884979;20.83266665599966
117122;WhiteMatter;0.7382251374159668;7.0
117122-PP;Amygdala;0.06740128322168362;64.47480127925948
117122-PP;GreyMatter;0.6481409423695128;10.0
117122-PP;Hippocampus;0.06667908073801654;61.30252849597641
117122-PP;Thalamus;0.5057317325935492;17.233687939614086
117122-PP;WhiteMatter;0.738478743363935;7.280109889280518
118528;Amygdala;0.08255189294001716;63.788713735268246
118528;GreyMatter;0.6079846185109343;9.0
118528;Hippocampus;0.0879198251661927;58.872744118140105
118528;Thalamus;0.5258777328409824;33.12099032335839
118528;WhiteMatter;0.6611876810489404;6.708203932499369
118528-PP;Amygdala;0.0681603867557409;64.03905058634146
118528-PP;GreyMatter;0.60646764329376;9.16515138991168
118528-PP;Hippocampus;0.0742996623779542;59.87486951969081
118528-PP;Thalamus;0.5484544310403046;31.400636936215164
118528-PP;WhiteMatter;0.6637793251271504;7.0
118730;Amygdala;0.10098557123708901;65.14598989960932
118730;GreyMatter;0.6484176196878079;9.0
118730;Hippocampus;0.07650247399586958;61.95159400693416
118730;Thalamus;0.5233039633861577;14.317821063276353
118730;WhiteMatter;0.7085354107002384;7.0
118730-PP;Amygdala;0.08406171019376579;65.39877674696982
118730-PP;GreyMatter;0.6469167277309655;10.0
118730-PP;Hippocampus;0.06489279497966734;62.8410693734599
118730-PP;Thalamus;0.5383888418171153;13.601470508735444
118730-PP;WhiteMatter;0.7082633040497367;7.280109889280518
118932;Amygdala;0.09399038842804802;67.00746227100382
118932;GreyMatter;0.6646926773977493;9.0
118932;Hippocampus;0.08196045933467504;61.45730225123781
118932;Thalamus;0.5524611787277415;21.307275752662516
118932;WhiteMatter;0.6863363847343992;7.0
118932-PP;Amygdala;0.07837210843772785;67.1863081289633
118932-PP;GreyMatter;0.6633431354530417;9.539392014169456
118932-PP;Hippocampus;0.06774134413991349;62.465990746965666
118932-PP;Thalamus;0.5642101308621877;20.0
118932-PP;WhiteMatter;0.6884761772241003;7.0710678118654755
120111;Amygdala;0.09805531881924537;65.22269543648132
120111;GreyMatter;0.6503220474012291;9.0
120111;Hippocampus;0.0843742564834642;61.13918547053109
120111;Thalamus;0.5172979443451018;32.61901286060018
120111;WhiteMatter;0.7379588974903689;6.0
120111-PP;Amygdala;0.08163159194602956;65.49809157525127
120111-PP;GreyMatter;0.6487264604990386;10.0
120111-PP;Hippocampus;0.06984709281563484;62.16912416947821
120111-PP;Thalamus;0.5343447893057033;29.223278392404914
120111-PP;WhiteMatter;0.7401472529600553;7.0
122317;Amygdala;0.09561814850470482;64.69930447848725
122317;GreyMatter;0.6411479841451482;9.0
122317;Hippocampus;0.07267701087925807;59.89156868875618
122317;Thalamus;0.4885789706577964;31.575306807693888
122317;WhiteMatter;0.6745213725858877;7.0
122317-PP;Amygdala;0.07939351455201599;65.06150935845248
122317-PP;GreyMatter;0.6397554180083085;10.0
122317-PP;Hippocampus;0.06148234987625374;61.032778078668514
122317-PP;Thalamus;0.5021101093420295;28.071337695236398
122317-PP;WhiteMatter;0.6771547388810863;7.0710678118654755
122620;Amygdala;0.10683899762889953;63.51377803280167
122620;GreyMatter;0.6604901548439939;9.219544457292887
122620;Hippocampus;0.08165111780971153;59.49789912257407
122620;Thalamus;0.53934456021323;19.390719429665317
122620;WhiteMatter;0.7254545558798401;6.4031242374328485
122620-PP;Amygdala;0.09020157210677873;63.89053137985315
122620-PP;GreyMatter;0.6592016318762048;10.0
122620-PP;Hippocampus;0.06837204177700441;60.81118318204309
122620-PP;Thalamus;0.5575284428999857;17.26267650163207
122620-PP;WhiteMatter;0.7254522076916643;6.782329983125268
123117;Amygdala;0.09534110354179447;65.37583651472461
123117;GreyMatter;0.5943646034371841;10.63014581273465
123117;Hippocampus;0.08919707437648156;61.69278726074872
123117;Thalamus;0.5427604786667503;11.874342087037917
123117;WhiteMatter;0.6297946673352042;20.223748416156685
123117-PP;Amygdala;0.07917860939539516;65.68104749469211
123117-PP;GreyMatter;0.5941056988464339;11.0
123117-PP;Hippocampus;0.07404088162253389;62.489999199871974
123117-PP;Thalamus;0.5527725164914115;11.704699910719626
123117-PP;WhiteMatter;0.6304988329528207;21.0
123925;Amygdala;0.0976382995756945;64.8459713474939
123925;GreyMatter;0.6353866341752396;9.0
123925;Hippocampus;0.0853525806266827;59.91660871578097
123925;Thalamus;0.5462685690799131;27.80287754891569
123925;WhiteMatter;0.7363027800327062;6.164414002968976
123925-PP;Amygdala;0.08068128478508683;65.06919393998976
123925-PP;GreyMatter;0.6337580870816002;9.219544457292887
123925-PP;Hippocampus;0.07146491639811772;60.88513775955508
123925-PP;Thalamus;0.5640450473980979;25.199206336708304
123925-PP;WhiteMatter;0.737050687862204;7.0
124422;Amygdala;0.11183203770582115;66.06814663663572
124422;GreyMatter;0.6030137767410997;9.055385138137417
124422;Hippocampus;0.08353414435073264;62.20128616033595
124422;Thalamus;0.5271507940112328;31.25699921617557
124422;WhiteMatter;0.641064256208134;7.211102550927978
124422-PP;Amygdala;0.09352001436007898;66.24198064671678
124422-PP;GreyMatter;0.6013694262171279;10.0
124422-PP;Hippocampus;0.07005110134968151;63.182275995725256
124422-PP;Thalamus;0.5377785542972411;27.386127875258307
124422-PP;WhiteMatter;0.6443911900420728;7.211102550927978
