LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.08837880863817661
Amygdala;DICE;STD;0.011623525258775955
Amygdala;HDRFDST;MEAN;65.11709322341457
Amygdala;HDRFDST;STD;0.9819216532580453
GreyMatter;DICE;MEAN;0.6348380209519017
GreyMatter;DICE;STD;0.023581717056137125
GreyMatter;HDRFDST;MEAN;9.546979842434165
GreyMatter;HDRFDST;STD;0.5959663481739124
Hippocampus;DICE;MEAN;0.07564798334654378
Hippocampus;DICE;STD;0.007996979906887795
Hippocampus;HDRFDST;MEAN;61.19461045928862
Hippocampus;HDRFDST;STD;1.1703207833428082
Thalamus;DICE;MEAN;0.5337644691132514
Thalamus;DICE;STD;0.020833042640827158
Thalamus;HDRFDST;MEAN;23.25905669209549
Thalamus;HDRFDST;STD;7.170514750970675
WhiteMatter;DICE;MEAN;0.6946536801793256
WhiteMatter;DICE;STD;0.038848537443073164
WhiteMatter;HDRFDST;MEAN;8.270319053816554
WhiteMatter;HDRFDST;STD;4.129385274841627
