LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.07506703446242993
Amygdala;DICE;STD;0.009810822160865915
Amygdala;HDRFDST;MEAN;65.34984575384746
Amygdala;HDRFDST;STD;0.8931181043648408
GreyMatter;DICE;MEAN;0.6227060854301494
GreyMatter;DICE;STD;0.02293992616249803
GreyMatter;HDRFDST;MEAN;6.048417771116168
GreyMatter;HDRFDST;STD;0.9309363383422785
Hippocampus;DICE;MEAN;0.07216712645951137
Hippocampus;DICE;STD;0.006771186112995604
Hippocampus;HDRFDST;MEAN;62.46620027522609
Hippocampus;HDRFDST;STD;1.1062654181266793
Thalamus;DICE;MEAN;0.5269180918954237
Thalamus;DICE;STD;0.020495320281409372
Thalamus;HDRFDST;MEAN;23.004644668540003
Thalamus;HDRFDST;STD;7.178880391412992
WhiteMatter;DICE;MEAN;0.7141672956377876
WhiteMatter;DICE;STD;0.03564578718717884
WhiteMatter;HDRFDST;MEAN;8.986115384839525
WhiteMatter;HDRFDST;STD;0.9485411379325469
