LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09578371776728054
Amygdala;DICE;STD;0.01348796482798078
Amygdala;HDRFDST;MEAN;65.22495421173039
Amygdala;HDRFDST;STD;0.9514978074975418
GreyMatter;DICE;MEAN;0.6357813332017322
GreyMatter;DICE;STD;0.024251520899451456
GreyMatter;HDRFDST;MEAN;8.136787334424808
GreyMatter;HDRFDST;STD;1.0689676675858968
Hippocampus;DICE;MEAN;0.07906273897907404
Hippocampus;DICE;STD;0.00807421628057144
Hippocampus;HDRFDST;MEAN;61.56942187703673
Hippocampus;HDRFDST;STD;1.1858708730179428
Thalamus;DICE;MEAN;0.529377745073122
Thalamus;DICE;STD;0.02117965781124498
Thalamus;HDRFDST;MEAN;23.53870378499023
Thalamus;HDRFDST;STD;7.384404114245563
WhiteMatter;DICE;MEAN;0.6978806822045136
WhiteMatter;DICE;STD;0.04186722044829747
WhiteMatter;HDRFDST;MEAN;8.828856415323981
WhiteMatter;HDRFDST;STD;3.7551690238380173
